,Family,ESV,Class,Resource,c_ia,Treatment
0,F0,S0,T0,R0,0.23274812550947366,Unspecialised
1,F0,S1,T0,R0,0.13111680751460467,Unspecialised
2,F0,S2,T0,R0,0.24578642941582798,Unspecialised
3,F0,S3,T0,R0,0.16422513425885818,Unspecialised
4,F0,S4,T0,R0,2.6842624040324976,Unspecialised
5,F0,S5,T0,R0,0.35059019142315445,Unspecialised
6,F0,S6,T0,R0,0.7395968347791958,Unspecialised
7,F0,S7,T0,R0,0.14768883480587522,Unspecialised
8,F0,S8,T0,R0,0.8155051337580022,Unspecialised
9,F0,S9,T0,R0,0.9075989428384528,Unspecialised
10,F0,S10,T0,R0,0.07175411141740916,Unspecialised
11,F0,S11,T0,R0,0.5855930297213728,Unspecialised
12,F0,S12,T0,R0,1.8154861389638832,Unspecialised
13,F0,S13,T0,R0,0.0014722642197678665,Unspecialised
14,F0,S14,T0,R0,0.27285959796320525,Unspecialised
15,F0,S15,T0,R0,0.02332714664866493,Unspecialised
16,F0,S16,T0,R0,0.010855361062237208,Unspecialised
17,F0,S17,T0,R0,0.0808503324236197,Unspecialised
18,F0,S18,T0,R0,0.747088592273026,Unspecialised
19,F0,S19,T0,R0,0.8079401489141345,Unspecialised
20,F1,S20,T0,R0,0.2269348568018606,Unspecialised
21,F1,S21,T0,R0,0.0038165936000057656,Unspecialised
22,F1,S22,T0,R0,0.033826655887088976,Unspecialised
23,F1,S23,T0,R0,0.010802748564919808,Unspecialised
24,F1,S24,T0,R0,0.7493202584846328,Unspecialised
25,F1,S25,T0,R0,0.5295846100417072,Unspecialised
26,F1,S26,T0,R0,1.2142271084365204,Unspecialised
27,F1,S27,T0,R0,0.29762571135947985,Unspecialised
28,F1,S28,T0,R0,0.8202237914437579,Unspecialised
29,F1,S29,T0,R0,0.021969336754167387,Unspecialised
30,F1,S30,T0,R0,0.6198269209393861,Unspecialised
31,F1,S31,T0,R0,0.0762395038891349,Unspecialised
32,F1,S32,T0,R0,0.21961171871567678,Unspecialised
33,F1,S33,T0,R0,0.09238815985177558,Unspecialised
34,F1,S34,T0,R0,0.5901477626129503,Unspecialised
35,F1,S35,T0,R0,0.05910825947489967,Unspecialised
36,F1,S36,T0,R0,0.044298456724283376,Unspecialised
37,F1,S37,T0,R0,0.06836932715615864,Unspecialised
38,F1,S38,T0,R0,0.24830196647381686,Unspecialised
39,F1,S39,T0,R0,0.6340414379463126,Unspecialised
40,F0,S0,T0,R1,0.0028410179011944797,Unspecialised
41,F0,S1,T0,R1,0.5294550712266682,Unspecialised
42,F0,S2,T0,R1,0.509982369082043,Unspecialised
43,F0,S3,T0,R1,0.19886314998497384,Unspecialised
44,F0,S4,T0,R1,0.04834084055786885,Unspecialised
45,F0,S5,T0,R1,0.04773334006455657,Unspecialised
46,F0,S6,T0,R1,0.32473658890877877,Unspecialised
47,F0,S7,T0,R1,1.6920215013391178,Unspecialised
48,F0,S8,T0,R1,3.2853729028000376,Unspecialised
49,F0,S9,T0,R1,3.4483152879670086e-05,Unspecialised
50,F0,S10,T0,R1,0.00837059817150805,Unspecialised
51,F0,S11,T0,R1,0.3742237479617956,Unspecialised
52,F0,S12,T0,R1,0.4340677723126676,Unspecialised
53,F0,S13,T0,R1,5.632254083941731,Unspecialised
54,F0,S14,T0,R1,0.2382342139684523,Unspecialised
55,F0,S15,T0,R1,0.5267131352601149,Unspecialised
56,F0,S16,T0,R1,0.010946074914452139,Unspecialised
57,F0,S17,T0,R1,0.0072723608391800565,Unspecialised
58,F0,S18,T0,R1,0.40119027344832126,Unspecialised
59,F0,S19,T0,R1,0.17788297278299345,Unspecialised
60,F1,S20,T0,R1,0.12498129523291295,Unspecialised
61,F1,S21,T0,R1,0.085930495487912,Unspecialised
62,F1,S22,T0,R1,0.3118175455283173,Unspecialised
63,F1,S23,T0,R1,0.13906718682956506,Unspecialised
64,F1,S24,T0,R1,0.438945480998039,Unspecialised
65,F1,S25,T0,R1,1.0282594839131483,Unspecialised
66,F1,S26,T0,R1,0.15020525185505704,Unspecialised
67,F1,S27,T0,R1,0.09078039460508197,Unspecialised
68,F1,S28,T0,R1,0.05549553840545589,Unspecialised
69,F1,S29,T0,R1,1.4404554703433996,Unspecialised
70,F1,S30,T0,R1,1.870686914320671,Unspecialised
71,F1,S31,T0,R1,0.6471271802224768,Unspecialised
72,F1,S32,T0,R1,0.035014321805807616,Unspecialised
73,F1,S33,T0,R1,0.12395399700927856,Unspecialised
74,F1,S34,T0,R1,0.0005393043677693564,Unspecialised
75,F1,S35,T0,R1,0.2244956171360883,Unspecialised
76,F1,S36,T0,R1,1.0831527460706027,Unspecialised
77,F1,S37,T0,R1,0.6908169679853956,Unspecialised
78,F1,S38,T0,R1,8.423481055930875e-05,Unspecialised
79,F1,S39,T0,R1,0.2893783768992908,Unspecialised
80,F0,S0,T0,R2,0.01376120141251782,Unspecialised
81,F0,S1,T0,R2,0.9771242267230047,Unspecialised
82,F0,S2,T0,R2,0.13735444531856,Unspecialised
83,F0,S3,T0,R2,0.2355090490386452,Unspecialised
84,F0,S4,T0,R2,0.4892857049568404,Unspecialised
85,F0,S5,T0,R2,0.11780962099706581,Unspecialised
86,F0,S6,T0,R2,1.4872643660434584,Unspecialised
87,F0,S7,T0,R2,0.9701269520665856,Unspecialised
88,F0,S8,T0,R2,3.186955415850261,Unspecialised
89,F0,S9,T0,R2,0.07553622316434992,Unspecialised
90,F0,S10,T0,R2,0.45936984413434717,Unspecialised
91,F0,S11,T0,R2,0.37746483194789965,Unspecialised
92,F0,S12,T0,R2,0.21130152938680374,Unspecialised
93,F0,S13,T0,R2,0.26530301763006414,Unspecialised
94,F0,S14,T0,R2,0.12041891074024472,Unspecialised
95,F0,S15,T0,R2,0.0058192929703474745,Unspecialised
96,F0,S16,T0,R2,1.0519286678610096,Unspecialised
97,F0,S17,T0,R2,0.40622635196356893,Unspecialised
98,F0,S18,T0,R2,0.7899652467001379,Unspecialised
99,F0,S19,T0,R2,0.010318402231124504,Unspecialised
100,F1,S20,T0,R2,0.6609484578754449,Unspecialised
101,F1,S21,T0,R2,0.6579412875674032,Unspecialised
102,F1,S22,T0,R2,0.6832550041654903,Unspecialised
103,F1,S23,T0,R2,0.4884748219500295,Unspecialised
104,F1,S24,T0,R2,0.2895346647044264,Unspecialised
105,F1,S25,T0,R2,0.1841893039173797,Unspecialised
106,F1,S26,T0,R2,0.14040340093072973,Unspecialised
107,F1,S27,T0,R2,0.9988063317804625,Unspecialised
108,F1,S28,T0,R2,0.18242920782240737,Unspecialised
109,F1,S29,T0,R2,1.135148671855671,Unspecialised
110,F1,S30,T0,R2,0.15125088549353238,Unspecialised
111,F1,S31,T0,R2,0.027295026264868124,Unspecialised
112,F1,S32,T0,R2,0.15230422458846266,Unspecialised
113,F1,S33,T0,R2,4.056227798172919,Unspecialised
114,F1,S34,T0,R2,0.9821406644761285,Unspecialised
115,F1,S35,T0,R2,0.017226472437750925,Unspecialised
116,F1,S36,T0,R2,0.17018398517451225,Unspecialised
117,F1,S37,T0,R2,0.7924898327578802,Unspecialised
118,F1,S38,T0,R2,0.0015134529913135993,Unspecialised
119,F1,S39,T0,R2,0.36906952521632896,Unspecialised
120,F0,S0,T0,R3,0.003744983027047509,Unspecialised
121,F0,S1,T0,R3,0.016451861229501964,Unspecialised
122,F0,S2,T0,R3,0.17484930275337104,Unspecialised
123,F0,S3,T0,R3,1.6406305135098163,Unspecialised
124,F0,S4,T0,R3,4.789990522437122e-06,Unspecialised
125,F0,S5,T0,R3,0.11431272656942901,Unspecialised
126,F0,S6,T0,R3,0.5441606318785683,Unspecialised
127,F0,S7,T0,R3,0.40437611124442463,Unspecialised
128,F0,S8,T0,R3,1.0221348227582356,Unspecialised
129,F0,S9,T0,R3,0.07728660365858309,Unspecialised
130,F0,S10,T0,R3,0.8138572151086539,Unspecialised
131,F0,S11,T0,R3,0.04072874812281329,Unspecialised
132,F0,S12,T0,R3,0.02444552853230082,Unspecialised
133,F0,S13,T0,R3,0.3171838084912271,Unspecialised
134,F0,S14,T0,R3,0.04412178977661078,Unspecialised
135,F0,S15,T0,R3,0.6541046815470603,Unspecialised
136,F0,S16,T0,R3,1.818345874635894,Unspecialised
137,F0,S17,T0,R3,2.434525629531721,Unspecialised
138,F0,S18,T0,R3,0.09037962393665408,Unspecialised
139,F0,S19,T0,R3,0.45785972973389916,Unspecialised
140,F1,S20,T0,R3,1.1507609608699638,Unspecialised
141,F1,S21,T0,R3,0.09943856818766714,Unspecialised
142,F1,S22,T0,R3,0.21869816792863556,Unspecialised
