exp_id,SS,AA,SA,q,q2,seed,S,file
1,5.28192778403991e-09,1.23249501715605e-08,3.35828920228209e-09,0.9,0.9,1,200,../Data/Raw/1.csv
2,3.6805464675993e-08,2.47964386801414e-08,6.85704265590559e-08,0.9,0.9,2,200,../Data/Raw/2.csv
3,2.45696399892026e-08,5.73476066634271e-09,2.45696399892026e-08,0.9,0.9,3,200,../Data/Raw/3.csv
4,3.01888577469711e-08,2.90451872553277e-08,3.01888577469711e-08,0.9,0.9,4,200,../Data/Raw/4.csv
5,6.97626933998663e-09,5.35288768865882e-08,1.80445407504948e-08,0.9,0.9,5,200,../Data/Raw/5.csv
6,1.7808054342261e-07,3.9006231355998e-08,6.68525824698563e-08,0.9,0.9,6,200,../Data/Raw/6.csv
9,2.11377080283626e-08,1.344448785634e-08,3.4714794039381e-08,0.9,0.9,9,200,../Data/Raw/9.csv
11,7.30020380601548e-05,6.4725567128221e-09,1.27226729151886e-09,0.9,0.9,11,200,../Data/Raw/11.csv
12,8.45510388369775e-08,5.11426767602075e-09,8.45510388369775e-08,0.9,0.9,12,200,../Data/Raw/12.csv
13,3.774736945239e-08,1.69499958513342e-09,9.85445314238831e-08,0.9,0.9,13,200,../Data/Raw/13.csv
15,4.97821206479898e-09,8.35646052355088e-09,1.33433777360636e-08,0.9,0.9,15,200,../Data/Raw/15.csv
16,1.03765383174803e-07,3.36900252140282e-09,1.45120637728979e-09,0.9,0.9,16,200,../Data/Raw/16.csv
17,1.58151459705991e-08,1.4846740059582e-08,1.4846740059582e-08,0.9,0.9,17,200,../Data/Raw/17.csv
18,1.29627316658443e-08,7.15415682250864e-09,0.000293546881047435,0.9,0.9,18,200,../Data/Raw/18.csv
19,9.04656026756712e-08,6.82367617965696e-09,1.13996319051068e-08,0.9,0.9,19,200,../Data/Raw/19.csv
22,3.60254026610107e-09,4.98957586358984e-09,8.94624485603401e-09,0.9,0.9,22,200,../Data/Raw/22.csv
23,7.51983597613304e-09,1.31407113856952e-07,6.26158813687994e-09,0.9,0.9,23,200,../Data/Raw/23.csv
24,2.58743199088585e-08,1.9416492857971e-09,6.59317977991236e-09,0.9,0.9,24,200,../Data/Raw/24.csv
25,1.22949828096353e-09,1.93086324706826e-09,8.99446517266256e-10,0.9,0.9,25,200,../Data/Raw/25.csv
26,1.3103290974481e-07,5.04898467479364e-09,1.3103290974481e-07,0.9,0.9,26,200,../Data/Raw/26.csv
28,0.000158743546914142,0.000216988416371189,8.39455860379701e-09,0.9,0.9,28,200,../Data/Raw/28.csv
29,2.70317799255793e-08,1.01038568622869e-08,1.2718602726558e-08,0.9,0.9,29,200,../Data/Raw/29.csv
32,2.33711909825018e-08,2.9151228098101e-09,2.71985336475211e-08,0.9,0.9,32,200,../Data/Raw/32.csv
34,7.23434834259962e-09,3.23228924736796e-08,2.12319791748072e-08,0.9,0.9,34,200,../Data/Raw/34.csv
36,9.14527120698949e-09,2.05281904919197e-07,2.05281904919197e-07,0.9,0.9,36,200,../Data/Raw/36.csv
37,3.78430360381543e-08,2.67131596953796e-07,3.78430360381543e-08,0.9,0.9,37,200,../Data/Raw/37.csv
38,6.58437082634578e-08,4.42509595632856e-08,1.31054322949353e-09,0.9,0.9,38,200,../Data/Raw/38.csv
39,4.45966055195868e-08,2.99540903192508e-09,4.45966055195868e-08,0.9,0.9,39,200,../Data/Raw/39.csv
40,5.53702184102889e-09,5.49688889805999e-05,6.68896182887124e-09,0.9,0.9,40,200,../Data/Raw/40.csv
43,9.20091647316212e-09,1.36388714766511e-08,3.01290947746224e-09,0.9,0.9,43,200,../Data/Raw/43.csv
44,2.23866924997651e-09,2.49004425967314e-08,1.15365518249533e-08,0.9,0.9,44,200,../Data/Raw/44.csv
45,8.5694381590784e-09,3.86734122503896e-09,5.92531712584332e-09,0.9,0.9,45,200,../Data/Raw/45.csv
46,6.71451916289811e-09,2.10879068651693e-08,4.88171771895196e-08,0.9,0.9,46,200,../Data/Raw/46.csv
47,1.04666009193011e-08,2.92625007558556e-08,1.46296159631021e-08,0.9,0.9,47,200,../Data/Raw/47.csv
48,1.04331264294544e-07,1.91909532709644e-09,4.59505811178929e-09,0.9,0.9,48,200,../Data/Raw/48.csv
49,6.81183454087631e-09,7.24463311563284e-09,6.81183454087631e-09,0.9,0.9,49,200,../Data/Raw/49.csv
50,6.16890276639026e-08,1.31338171449613e-08,8.02280242240272e-10,0.9,0.9,50,200,../Data/Raw/50.csv
52,6.24028217988126e-09,3.37907135605775e-09,1.21655271594356e-05,0.9,0.9,52,200,../Data/Raw/52.csv
53,1.10063569369601e-09,2.38712679623276e-08,2.38712679623276e-08,0.9,0.9,53,200,../Data/Raw/53.csv
54,2.60922039529987e-09,2.07844038979665e-07,7.15988379695887e-09,0.9,0.9,54,200,../Data/Raw/54.csv
55,2.59208121633492e-09,2.98700475465097e-09,4.26443880208183e-09,0.9,0.9,55,200,../Data/Raw/55.csv
57,1.24309638138698e-08,2.5177848694824e-09,8.74886952884069e-08,0.9,0.9,57,200,../Data/Raw/57.csv
58,1.34249094063676e-08,4.295308431157e-08,4.295308431157e-08,0.9,0.9,58,200,../Data/Raw/58.csv
59,6.04823857663916e-09,2.59334187457938e-09,9.26307774928858e-09,0.9,0.9,59,200,../Data/Raw/59.csv
60,5.3651585396608e-09,7.98526095246999e-08,5.3651585396608e-09,0.9,0.9,60,200,../Data/Raw/60.csv
61,3.22536020114228e-08,3.6522072033307e-09,5.18719189823713e-09,0.9,0.9,61,200,../Data/Raw/61.csv
62,7.13925718542896e-09,1.20309167406241e-07,1.20309167406241e-07,0.9,0.9,62,200,../Data/Raw/62.csv
64,1.56549608831824e-08,5.20796872294227e-09,1.33428756932119e-09,0.9,0.9,64,200,../Data/Raw/64.csv
65,1.74237558825396e-08,1.03090630476643e-08,1.22031508342779e-07,0.9,0.9,65,200,../Data/Raw/65.csv
66,1.22949126435401e-08,3.56932861045323e-09,6.04023053796254e-10,0.9,0.9,66,200,../Data/Raw/66.csv
67,1.10974063272096e-09,1.15663720823278e-08,7.72525039494099e-08,0.9,0.9,67,200,../Data/Raw/67.csv
68,5.57663371036909e-09,1.24395111988918e-08,1.66939195800353e-09,0.9,0.9,68,200,../Data/Raw/68.csv
69,8.72665040230203e-09,1.07179701225313e-07,1.07179701225313e-07,0.9,0.9,69,200,../Data/Raw/69.csv
70,7.37440863929351e-09,2.88555656036138e-08,7.37440863929351e-09,0.9,0.9,70,200,../Data/Raw/70.csv
71,6.80165506139474e-08,3.65941188462671e-08,3.65941188462671e-08,0.9,0.9,71,200,../Data/Raw/71.csv
74,1.80600654209329e-07,3.42227590710564e-09,3.70219410683603e-09,0.9,0.9,74,200,../Data/Raw/74.csv
75,1.8103758825383e-08,1.08680355825896e-08,8.7567071371808e-09,0.9,0.9,75,200,../Data/Raw/75.csv
76,1.01280672737403e-08,2.08347268326747e-08,2.08347268326747e-08,0.9,0.9,76,200,../Data/Raw/76.csv
77,0.000131372028411292,1.90963527213484e-08,1.90963527213484e-08,0.9,0.9,77,200,../Data/Raw/77.csv
78,2.51276810470102e-09,4.37151206345021e-08,2.25239358275786e-08,0.9,0.9,78,200,../Data/Raw/78.csv
