exp_id,Family,Treatment,Replicate,variable,Abundance,Abundance_1,Abundance_2,Predicted_Abundance,q,q2,seed,S,Epsilon,Dominates
1,F0,SA,SA,SA,0.393177331771977,0.588874164787644,0.204618955900694,0.396746560344169,0.9,0.9,1,200,0.003569228572192,1
1,F1,SA,SA,SA,0.606822641713715,0.411125826645775,0.795381028440107,0.603253427542941,0.9,0.9,1,200,0.00356921417077405,1
2,F0,SA,SA,SA,0.463507452247008,0.697227781491984,0.17026633897691,0.433747060234448,0.9,0.9,2,200,-0.02976039201256,-1
2,F1,SA,SA,SA,0.536492517763085,0.302772198911666,0.829733640617737,0.566252919764702,0.9,0.9,2,200,-0.029760402001617,-1
3,F0,SA,SA,SA,0.525471169595915,0.786324322258372,0.247433197455488,0.51687875985693,0.9,0.9,3,200,-0.00859240973898501,-1
3,F1,SA,SA,SA,0.474528813308092,0.213675653151106,0.752566789611839,0.483121221381473,0.9,0.9,3,200,-0.00859240807338102,-1
4,F0,SA,SA,SA,0.60710790306144,0.94274920052493,0.250343101064541,0.596546150794735,0.9,0.9,4,200,-0.010561752266705,-1
4,F1,SA,SA,SA,0.392892083864395,0.0572507885508842,0.749656860349016,0.403453824449951,0.9,0.9,4,200,-0.010561740585556,-1
5,F0,SA,SA,SA,0.463832272420477,0.647491626651715,0.28994275434415,0.468717190497933,0.9,0.9,5,200,0.004884918077456,1
5,F1,SA,SA,SA,0.536167711498313,0.352508360519808,0.710057228399958,0.531282794459883,0.9,0.9,5,200,0.00488491703842997,1
6,F0,SA,SA,SA,0.435135535458076,0.709766168100328,0.262939521638048,0.486352844869188,0.9,0.9,6,200,0.051217309411112,1
6,F1,SA,SA,SA,0.564864436160947,0.29023380606658,0.737060468526795,0.513647137296688,0.9,0.9,6,200,0.051217298864259,1
9,F0,SA,SA,SA,0.452031793136595,0.749190064084587,0.165917995709828,0.457554029897208,0.9,0.9,9,200,0.00552223676061303,1
9,F1,SA,SA,SA,0.547968177145396,0.250809917099355,0.834081988293757,0.542445952696556,0.9,0.9,9,200,0.00552222444883999,1
11,F0,SA,SA,SA,0.524810809173198,0.846247190726958,0.168736423517284,0.507491807122122,0.9,0.9,11,200,-0.017319002051076,-1
11,F1,SA,SA,SA,0.475189164752626,0.153752779608591,0.831263555486148,0.49250816754737,0.9,0.9,11,200,-0.017319002794744,-1
12,F0,SA,SA,SA,0.614644092616679,0.909821161653272,0.367350956595022,0.638586059124147,0.9,0.9,12,200,0.0239419665074681,1
12,F1,SA,SA,SA,0.385355873284266,0.090178820761391,0.632649033924592,0.361413927342992,0.9,0.9,12,200,0.023941945941274,1
13,F0,SA,SA,SA,0.756311925900829,0.928636277722651,0.516359181500088,0.722497729611369,0.9,0.9,13,200,-0.0338141962894599,-1
13,F1,SA,SA,SA,0.243688054743355,0.0713636795883305,0.483640807784399,0.277502243686365,0.9,0.9,13,200,-0.03381418894301,-1
15,F0,SA,SA,SA,0.604857182507863,0.888540026288458,0.324648444984922,0.606594235636691,0.9,0.9,15,200,0.00173705312882799,1
15,F1,SA,SA,SA,0.395142780347853,0.111459952681688,0.675351544624879,0.393405748653284,0.9,0.9,15,200,0.00173703169456901,1
16,F0,SA,SA,SA,0.491417451776404,0.743597026880019,0.255564396840681,0.49958071186035,0.9,0.9,16,200,0.00816326008394602,1
16,F1,SA,SA,SA,0.508582535000447,0.256402962364466,0.74443558996966,0.500419276167064,0.9,0.9,16,200,0.00816325883338298,1
17,F0,SA,SA,SA,0.503310259163568,0.829729480089727,0.173817219506463,0.501773349798096,0.9,0.9,17,200,-0.00153690936547202,-1
17,F1,SA,SA,SA,0.4966897140954,0.170270507768511,0.826182766633208,0.49822663720086,0.9,0.9,17,200,-0.00153692310546,-1
18,F0,SA,SA,SA,0.507333022106511,0.800084523914188,0.209845621501886,0.504965072708037,0.9,0.9,18,200,-0.00236794939847396,-1
18,F1,SA,SA,SA,0.492666728962008,0.19991542245005,0.790154363166058,0.495034892808055,0.9,0.9,18,200,-0.00236816384604699,-1
19,F0,SA,SA,SA,0.483087381026132,0.791600477091552,0.100620665456379,0.446110571273966,0.9,0.9,19,200,-0.0369768097521661,-1
19,F1,SA,SA,SA,0.516912603816591,0.208399505966816,0.899379320507395,0.553889413237105,0.9,0.9,19,200,-0.0369768094205141,-1
22,F0,SA,SA,SA,0.505452240431979,0.790552079584908,0.202923936338448,0.496738007961679,0.9,0.9,22,200,-0.00871423247030001,-1
22,F1,SA,SA,SA,0.494547746115732,0.209447893438326,0.797076017480378,0.503261955459352,0.9,0.9,22,200,-0.00871420934362005,-1
23,F0,SA,SA,SA,0.475998097683744,0.676415967210977,0.22350784730006,0.449961907255518,0.9,0.9,23,200,-0.026036190428226,-1
23,F1,SA,SA,SA,0.524001872374997,0.323584008493077,0.776492136684042,0.55003807258856,0.9,0.9,23,200,-0.026036200213563,-1
24,F0,SA,SA,SA,0.483495630491173,0.706066428074778,0.28392815518161,0.494997291628195,0.9,0.9,24,200,0.011501661137022,1
24,F1,SA,SA,SA,0.516504346031743,0.293933549119807,0.716071765368407,0.505002657244107,0.9,0.9,24,200,0.011501688787636,1
25,F0,SA,SA,SA,0.529491291744222,0.783215349261709,0.275506052442383,0.529360700852045,0.9,0.9,25,200,-0.00013059089217704,-1
25,F1,SA,SA,SA,0.47050869917952,0.216784642571713,0.724493942601457,0.470639292586584,0.9,0.9,25,200,-0.000130593407064006,-1
26,F0,SA,SA,SA,0.576623222982054,0.666174528256146,0.701788528774523,0.683981528515334,0.9,0.9,26,200,-0.10735830553328,-1
26,F1,SA,SA,SA,0.423376745315028,0.333825446664928,0.298211453204958,0.316018449934943,0.9,0.9,26,200,-0.107358295380085,-1
28,F0,SA,SA,SA,0.507676024289288,0.727030271436701,0.301291482013578,0.514160876725139,0.9,0.9,28,200,0.00648485243585095,1
28,F1,SA,SA,SA,0.492323942308275,0.272969713254385,0.698708499848441,0.485839106551413,0.9,0.9,28,200,0.00648483575686198,1
29,F0,SA,SA,SA,0.523268439268601,0.811176052964516,0.200526979831662,0.505851516398089,0.9,0.9,29,200,-0.017416922870512,-1
29,F1,SA,SA,SA,0.4767315467089,0.188823920209527,0.799473008427919,0.494148464318724,0.9,0.9,29,200,-0.017416917609824,-1
32,F0,SA,SA,SA,0.46409425486075,0.707729660885168,0.219120137879033,0.4634248993821,0.9,0.9,32,200,-0.000669355478649991,-1
32,F1,SA,SA,SA,0.535905717971729,0.292270319216114,0.780879801597722,0.536575060406918,0.9,0.9,32,200,-0.000669342435189013,-1
34,F0,SA,SA,SA,0.501167545361481,0.717552745829985,0.299615959162827,0.508584352496406,0.9,0.9,34,200,0.00741680713492499,1
34,F1,SA,SA,SA,0.498832422914763,0.282447243273273,0.700384015458559,0.491415629365916,0.9,0.9,34,200,0.007416793548847,1
36,F0,SA,SA,SA,0.52245766807907,0.8605917768379,0.158716017352561,0.50965389709523,0.9,0.9,36,200,-0.01280377098384,-1
36,F1,SA,SA,SA,0.477542322652286,0.139408204051707,0.841283936504888,0.490346070278298,0.9,0.9,36,200,-0.012803747626012,-1
37,F0,SA,SA,SA,0.556836365560184,0.852617451879758,0.267826433882565,0.560221942881162,0.9,0.9,37,200,0.003385577320978,1
37,F1,SA,SA,SA,0.443163550629662,0.147382505128039,0.732173550854312,0.439778027991175,0.9,0.9,37,200,0.00338552263848702,1
38,F0,SA,SA,SA,0.421213145663382,0.644897771764099,0.288181317961528,0.466539544862815,0.9,0.9,38,200,0.045326399199433,1
38,F1,SA,SA,SA,0.578786839304753,0.355102214511667,0.711818657921585,0.533460436216626,0.9,0.9,38,200,0.0453264030881271,1
39,F0,SA,SA,SA,0.548003675572999,0.85907436904372,0.25813953115437,0.558606950099046,0.9,0.9,39,200,0.010603274526047,1
39,F1,SA,SA,SA,0.451996295131977,0.140925545128784,0.741860452562172,0.441392998845478,0.9,0.9,39,200,0.010603296286499,1
40,F0,SA,SA,SA,0.586997504016509,0.867449495951867,0.298532191598907,0.582990843775387,0.9,0.9,40,200,-0.00400666024112195,-1
40,F1,SA,SA,SA,0.413002472826975,0.132550469250031,0.701467798183606,0.417009133716819,0.9,0.9,40,200,-0.00400666088984403,-1
43,F0,SA,SA,SA,0.410939150684629,0.606317223328542,0.193388598406402,0.399852910867472,0.9,0.9,43,200,-0.011086239817157,-1
43,F1,SA,SA,SA,0.589060825849164,0.393682758943028,0.806611366384827,0.600147062663928,0.9,0.9,43,200,-0.0110862368147641,-1
44,F0,SA,SA,SA,0.54198820816961,0.781068721598482,0.303914371066981,0.542491546332732,0.9,0.9,44,200,0.00050333816312198,1
44,F1,SA,SA,SA,0.458011776116231,0.218931247752859,0.696085609298113,0.457508428525486,0.9,0.9,44,200,0.000503347590744996,1
45,F0,SA,SA,SA,0.420421996608836,0.738894654470077,0.133626642409498,0.436260648439788,0.9,0.9,45,200,0.015838651830952,1
45,F1,SA,SA,SA,0.579577986680681,0.261105328789866,0.866373331310764,0.563739330050315,0.9,0.9,45,200,0.015838656630366,1
46,F0,SA,SA,SA,0.587012784893889,0.886897343658905,0.299732608313481,0.593314975986193,0.9,0.9,46,200,0.00630219109230401,1
46,F1,SA,SA,SA,0.412987183551357,0.113102625234211,0.700267367881557,0.406684996557884,0.9,0.9,46,200,0.00630218699347301,1
47,F0,SA,SA,SA,0.489339256506196,0.725545342854923,0.285549827742623,0.505547585298774,0.9,0.9,47,200,0.016208328792578,1
47,F1,SA,SA,SA,0.510660707291535,0.274454635958741,0.714450166300312,0.494452401129526,0.9,0.9,47,200,0.016208306162009,1
48,F0,SA,SA,SA,0.592247155406271,0.850097768392379,0.27774176275302,0.5639197655727,0.9,0.9,48,200,-0.0283273898335711,-1
48,F1,SA,SA,SA,0.407752809723607,0.149902214125852,0.722258208808156,0.436080211467004,0.9,0.9,48,200,-0.028327401743397,-1
49,F0,SA,SA,SA,0.504871038538906,0.72098284908693,0.302698046230027,0.511840447658479,0.9,0.9,49,200,0.006969409119573,1
49,F1,SA,SA,SA,0.495128926148995,0.279017116219135,0.697301937915903,0.488159527067519,0.9,0.9,49,200,0.00696939908147604,1
50,F0,SA,SA,SA,0.555736396284293,0.720700254183825,0.359044806314077,0.53987253024895,0.9,0.9,50,200,-0.0158638660353431,-1
50,F1,SA,SA,SA,0.444263570825343,0.279299697628649,0.640955181636546,0.460127439632597,0.9,0.9,50,200,-0.015863868807254,-1
