"Inoculum","Family","CS_duo","CS_type_duo","CS1","CS2","ab_obs_mean","ab_obs_se","ab_pred_mean","ab_pred_se","cs.ord"
1,"Enterobacteriaceae","glucose_benzoate","SA","glucose","benzoate",0.48123666375,0.01373345095211,0.6743953514375,0.015085140429152,"benzoate"
1,"Enterobacteriaceae","glucose_cellobiose","SS","glucose","cellobiose",0.9982837,0.000568746911508538,0.986578289625,0.00257070605052336,"cellobiose"
1,"Enterobacteriaceae","glucose_fructose","SS","glucose","fructose",0.99909546325,0.000102854998187072,0.986265539125,0.00242069899868371,"fructose"
1,"Enterobacteriaceae","glucose_fumarate","SA","glucose","fumarate",0.63663141275,0.0358666159554098,0.485301101625,0.00297845993882055,"fumarate"
1,"Enterobacteriaceae","glucose_glutamine","SA","glucose","glutamine",0.7388672485,0.0700727819832939,0.5124168745625,0.00602123215555967,"glutamine"
1,"Enterobacteriaceae","glucose_glycerol","SS","glucose","glycerol",0.997193617,0.00141934362252986,0.9804198363125,0.00287065990269287,"glycerol"
1,"Enterobacteriaceae","glucose_glycine","SA","glucose","glycine",0.892043170333333,0.0527305769744263,0.599915541,0.00392971323897508,"glycine"
1,"Enterobacteriaceae","glucose_ribose","SS","glucose","ribose",0.94104276825,0.0573803285770872,0.949995915375,0.00835152487181052,"ribose"
1,"Enterobacteriaceae","succinate_benzoate","AA","succinate","benzoate",0.01071528025,0.00242440613310354,0.062648998875,0.0080682089533035,"benzoate"
1,"Enterobacteriaceae","succinate_cellobiose","SA","succinate","cellobiose",0.77808702175,0.0242413106006362,0.57567808175,0.00740722920058573,"cellobiose"
1,"Enterobacteriaceae","succinate_fructose","SA","succinate","fructose",0.82943686825,0.0859114108876734,0.5815247613125,0.00694185232658149,"fructose"
1,"Enterobacteriaceae","succinate_fumarate","AA","succinate","fumarate",0.05849336675,0.00602554406125756,0.1294458940625,0.00454284283792246,"fumarate"
1,"Enterobacteriaceae","succinate_glutamine","AA","succinate","glutamine",0.1096576685,0.0124747186433962,0.048238811,0.00588573228446859,"glutamine"
1,"Enterobacteriaceae","succinate_glycerol","SA","succinate","glycerol",0.93617218625,0.0254480824968423,0.516600621,0.00738704973407178,"glycerol"
1,"Enterobacteriaceae","succinate_glycine","AA","succinate","glycine",0.012864521,0.00297324176127472,0.0659697049166667,0.00938095666241049,"glycine"
1,"Enterobacteriaceae","succinate_ribose","SA","succinate","ribose",0.8152426015,0.0329945155282394,0.479449158375,0.0100898318345951,"ribose"
1,"Moraxellaceae","glucose_benzoate","SA","glucose","benzoate",0.00030151225,0.000183114099329887,0.0036910709375,0.000605542984058581,"benzoate"
1,"Moraxellaceae","glucose_cellobiose","SS","glucose","cellobiose",0.000278319,0.00016509076344595,0.0008267970625,8.30374340516306e-05,"cellobiose"
1,"Moraxellaceae","glucose_fructose","SS","glucose","fructose",0,0,0.0017440879375,0.000107907476709659,"fructose"
1,"Moraxellaceae","glucose_fumarate","SA","glucose","fumarate",0.03817608325,0.0154250025203247,0.2268531505625,0.00617168944436802,"fumarate"
1,"Moraxellaceae","glucose_glutamine","SA","glucose","glutamine",0.000765384,0.000365979176827726,0.003935340875,0.000689716119229576,"glutamine"
1,"Moraxellaceae","glucose_glycerol","SS","glucose","glycerol",4.63865e-05,4.63865e-05,0.0002282286,4.01909062080891e-05,"glycerol"
1,"Moraxellaceae","glucose_glycine","SA","glucose","glycine",0.000618504666666667,0.000525704666666667,0.00188660858333333,0.000505592384133333,"glycine"
1,"Moraxellaceae","glucose_ribose","SS","glucose","ribose",2.32e-05,2.32e-05,0.001618099375,9.48323689434799e-05,"ribose"
1,"Moraxellaceae","succinate_benzoate","AA","succinate","benzoate",0.00173949375,0.000266133490312154,0.1517637373125,0.0417472743999567,"benzoate"
1,"Moraxellaceae","succinate_cellobiose","SA","succinate","cellobiose",0.001020503,0.000251230471637764,0.1054476023125,0.0296602275326709,"cellobiose"
1,"Moraxellaceae","succinate_fructose","SA","succinate","fructose",0.00095092325,0.00028688465865407,0.104871453125,0.0292181144209145,"fructose"
1,"Moraxellaceae","succinate_fumarate","AA","succinate","fumarate",0.34019853425,0.0243171719097166,0.322504159,0.024292617477943,"fumarate"
1,"Moraxellaceae","succinate_glutamine","AA","succinate","glutamine",0.22390759825,0.0175609277798915,0.1144456729375,0.0312860390313846,"glutamine"
1,"Moraxellaceae","succinate_glycerol","SA","succinate","glycerol",0.00081176375,0.000166711988233388,0.11794129875,0.0332743448066396,"glycerol"
1,"Moraxellaceae","succinate_glycine","AA","succinate","glycine",0.316510499,0.15765168805951,0.12999338475,0.042144938367138,"glycine"
1,"Moraxellaceae","succinate_ribose","SA","succinate","ribose",0.00076537725,0.000186989959520725,0.1205807759375,0.0336096888847882,"ribose"
1,"Pseudomonadaceae","glucose_benzoate","SA","glucose","benzoate",0.51755728775,0.0138492164862214,0.24895381775,0.0123213099341869,"benzoate"
1,"Pseudomonadaceae","glucose_cellobiose","SS","glucose","cellobiose",0.0012524355,0.000398132026459084,0.0083456040625,0.00199663644914403,"cellobiose"
1,"Pseudomonadaceae","glucose_fructose","SS","glucose","fructose",0.00071899075,0.000127738460595843,0.008291306875,0.00194401548443049,"fructose"
1,"Pseudomonadaceae","glucose_fumarate","SA","glucose","fumarate",0.28703961375,0.0461848759294672,0.2305355358125,0.00637834017607954,"fumarate"
1,"Pseudomonadaceae","glucose_glutamine","SA","glucose","glutamine",0.16689859925,0.0484447786889834,0.252478490625,0.00732212431996741,"glutamine"
1,"Pseudomonadaceae","glucose_glycerol","SS","glucose","glycerol",0.002435291,0.00156452730465632,0.0156128258125,0.00236811531799598,"glycerol"
1,"Pseudomonadaceae","glucose_glycine","SA","glucose","glycine",0.101339023666667,0.0500209683323696,0.300128602083333,0.00922097032189214,"glycine"
1,"Pseudomonadaceae","glucose_ribose","SS","glucose","ribose",0.058910852,0.0573649020655214,0.0362235399375,0.0062123212097872,"ribose"
1,"Pseudomonadaceae","succinate_benzoate","AA","succinate","benzoate",0.74897949725,0.0313100317372874,0.4525216166875,0.0407266487706213,"benzoate"
1,"Pseudomonadaceae","succinate_cellobiose","SA","succinate","cellobiose",0.1375823365,0.018868870978643,0.1346880115,0.0238270456413535,"cellobiose"
1,"Pseudomonadaceae","succinate_fructose","SA","succinate","fructose",0.0971797015,0.0533913764110712,0.1326608673125,0.0234190387835974,"fructose"
1,"Pseudomonadaceae","succinate_fumarate","AA","succinate","fumarate",0.4333426105,0.0243924155524803,0.342556843125,0.022151975366497,"fumarate"
1,"Pseudomonadaceae","succinate_glutamine","AA","succinate","glutamine",0.3247518325,0.0164927519666402,0.4018040765,0.0293610585874461,"glutamine"
1,"Pseudomonadaceae","succinate_glycerol","SA","succinate","glycerol",0.060859078,0.0248668808440717,0.1592659313125,0.0272876025761706,"glycerol"
1,"Pseudomonadaceae","succinate_glycine","AA","succinate","glycine",0.398459968666667,0.0877363191730157,0.478754626666667,0.0417671505661945,"glycine"
1,"Pseudomonadaceae","succinate_ribose","SA","succinate","ribose",0.1784024495,0.0325495925644224,0.182790419625,0.0284354177530499,"ribose"
1,"Rhizobiaceae","glucose_benzoate","SA","glucose","benzoate",2.32e-05,2.32e-05,0.0016099786875,0.00024874465865362,"benzoate"
1,"Rhizobiaceae","glucose_cellobiose","SS","glucose","cellobiose",4.63865e-05,4.63865e-05,0.0008602151875,6.15607732382683e-05,"cellobiose"
1,"Rhizobiaceae","glucose_fructose","SS","glucose","fructose",0,0,0.00093755075,7.55930306063606e-05,"fructose"
1,"Rhizobiaceae","glucose_fumarate","SA","glucose","fumarate",0.002852776,0.001575943776608,0.00467120975,0.000552232242481756,"fumarate"
