"Inoculum","Carbon_Source","Family","Replicate","sum_relab","Family_type"
1,"glucose_benzoate","Enterobacteriaceae",1,0.493459504,"Enterobacteriaceae"
1,"glucose_benzoate","Pseudomonadaceae",1,0.50635495,"Pseudomonadaceae"
1,"glucose_benzoate","Enterobacteriaceae",2,0.457649132,"Enterobacteriaceae"
1,"glucose_benzoate","Pseudomonadaceae",2,0.541887003,"Pseudomonadaceae"
1,"glucose_benzoate","Enterobacteriaceae",3,0.514240654,"Enterobacteriaceae"
1,"glucose_benzoate","Pseudomonadaceae",3,0.483625569,"Pseudomonadaceae"
1,"glucose_benzoate","Enterobacteriaceae",4,0.459597365,"Enterobacteriaceae"
1,"glucose_benzoate","Pseudomonadaceae",4,0.538361629,"Pseudomonadaceae"
1,"glucose_cellobiose","Enterobacteriaceae",1,0.996845719,"Enterobacteriaceae"
1,"glucose_cellobiose","Enterobacteriaceae",2,0.999443362,"Enterobacteriaceae"
1,"glucose_cellobiose","Enterobacteriaceae",3,0.997958995,"Enterobacteriaceae"
1,"glucose_cellobiose","Enterobacteriaceae",4,0.998886724,"Enterobacteriaceae"
1,"glucose_fructose","Enterobacteriaceae",1,0.998886725,"Enterobacteriaceae"
1,"glucose_fructose","Enterobacteriaceae",2,0.998979497,"Enterobacteriaceae"
1,"glucose_fructose","Enterobacteriaceae",3,0.999350588,"Enterobacteriaceae"
1,"glucose_fructose","Enterobacteriaceae",4,0.999165043,"Enterobacteriaceae"
1,"glucose_fumarate","Enterobacteriaceae",1,0.57723351,"Enterobacteriaceae"
1,"glucose_fumarate","Lachnospiraceae",1,0.013452083,"Lachnospiraceae"
1,"glucose_fumarate","Oxalobacteraceae",1,0.021616105,"Oxalobacteraceae"
1,"glucose_fumarate","Pseudomonadaceae",1,0.36960757,"Pseudomonadaceae"
1,"glucose_fumarate","Enterobacteriaceae",2,0.571945449,"Enterobacteriaceae"
1,"glucose_fumarate","Moraxellaceae",2,0.026904166,"Moraxellaceae"
1,"glucose_fumarate","Oxalobacteraceae",2,0.014379813,"Oxalobacteraceae"
1,"glucose_fumarate","Pseudomonadaceae",2,0.364041191,"Pseudomonadaceae"
1,"glucose_fumarate","Enterobacteriaceae",3,0.6950552,"Enterobacteriaceae"
1,"glucose_fumarate","Moraxellaceae",3,0.078578718,"Moraxellaceae"
1,"glucose_fumarate","Pseudomonadaceae",3,0.199554689,"Pseudomonadaceae"
1,"glucose_fumarate","Comamonadaceae",4,0.012153261,"Comamonadaceae"
1,"glucose_fumarate","Enterobacteriaceae",4,0.702291492,"Enterobacteriaceae"
1,"glucose_fumarate","Moraxellaceae",4,0.041933389,"Moraxellaceae"
1,"glucose_fumarate","Pseudomonadaceae",4,0.214955005,"Pseudomonadaceae"
1,"glucose_glutamine","Enterobacteriaceae",1,0.651637443,"Enterobacteriaceae"
1,"glucose_glutamine","Oxalobacteraceae",1,0.091845255,"Oxalobacteraceae"
1,"glucose_glutamine","Pseudomonadaceae",1,0.229149272,"Pseudomonadaceae"
1,"glucose_glutamine","Xanthomonadaceae",1,0.020688376,"Xanthomonadaceae"
1,"glucose_glutamine","Enterobacteriaceae",2,0.703033677,"Enterobacteriaceae"
1,"glucose_glutamine","Oxalobacteraceae",2,0.084980054,"Oxalobacteraceae"
1,"glucose_glutamine","Pseudomonadaceae",2,0.186566472,"Pseudomonadaceae"
1,"glucose_glutamine","Xanthomonadaceae",2,0.017163002,"Xanthomonadaceae"
1,"glucose_glutamine","Enterobacteriaceae",3,0.946098896,"Enterobacteriaceae"
1,"glucose_glutamine","Oxalobacteraceae",3,0.011689396,"Oxalobacteraceae"
1,"glucose_glutamine","Pseudomonadaceae",3,0.024584841,"Pseudomonadaceae"
1,"glucose_glutamine","Xanthomonadaceae",3,0.010947212,"Xanthomonadaceae"
1,"glucose_glutamine","Enterobacteriaceae",4,0.654698978,"Enterobacteriaceae"
1,"glucose_glutamine","Enterococcaceae",4,0.010854439,"Enterococcaceae"
1,"glucose_glutamine","Oxalobacteraceae",4,0.089340384,"Oxalobacteraceae"
1,"glucose_glutamine","Pseudomonadaceae",4,0.227293812,"Pseudomonadaceae"
1,"glucose_glycerol","Enterobacteriaceae",1,0.992949252,"Enterobacteriaceae"
1,"glucose_glycerol","Enterobacteriaceae",2,0.998608405,"Enterobacteriaceae"
1,"glucose_glycerol","Enterobacteriaceae",3,0.998886725,"Enterobacteriaceae"
1,"glucose_glycerol","Enterobacteriaceae",4,0.998330086,"Enterobacteriaceae"
1,"glucose_glycine","Enterobacteriaceae",1,0.84052324,"Enterobacteriaceae"
1,"glucose_glycine","Pseudomonadaceae",1,0.150848873,"Pseudomonadaceae"
1,"glucose_glycine","Enterobacteriaceae",2,0.997495129,"Enterobacteriaceae"
1,"glucose_glycine","Enterobacteriaceae",3,0.838111142,"Enterobacteriaceae"
1,"glucose_glycine","Pseudomonadaceae",3,0.151869376,"Pseudomonadaceae"
1,"glucose_ribose","Enterobacteriaceae",1,0.768902495,"Enterobacteriaceae"
1,"glucose_ribose","Pseudomonadaceae",1,0.231004758,"Pseudomonadaceae"
1,"glucose_ribose","Enterobacteriaceae",2,0.997958995,"Enterobacteriaceae"
1,"glucose_ribose","Enterobacteriaceae",3,0.998608405,"Enterobacteriaceae"
1,"glucose_ribose","Enterobacteriaceae",4,0.998701178,"Enterobacteriaceae"
1,"succinate_benzoate","Flavobacteriaceae",1,0.152797105,"Flavobacteriaceae"
1,"succinate_benzoate","Pseudomonadaceae",1,0.798497077,"Pseudomonadaceae"
1,"succinate_benzoate","Xanthomonadaceae",1,0.032934409,"Xanthomonadaceae"
1,"succinate_benzoate","Enterobacteriaceae",2,0.011318305,"Enterobacteriaceae"
1,"succinate_benzoate","Flavobacteriaceae",2,0.231097505,"Flavobacteriaceae"
1,"succinate_benzoate","Pseudomonadaceae",2,0.676593376,"Pseudomonadaceae"
1,"succinate_benzoate","Sphingobacteriaceae",2,0.050468504,"Sphingobacteriaceae"
1,"succinate_benzoate","Xanthomonadaceae",2,0.023193246,"Xanthomonadaceae"
1,"succinate_benzoate","Enterobacteriaceae",3,0.014472586,"Enterobacteriaceae"
1,"succinate_benzoate","Flavobacteriaceae",3,0.149550051,"Flavobacteriaceae"
1,"succinate_benzoate","Pseudomonadaceae",3,0.804063457,"Pseudomonadaceae"
1,"succinate_benzoate","Xanthomonadaceae",3,0.02393543,"Xanthomonadaceae"
