"Inoculum","ESV","CS_duo","CS_type_duo","CS1","CS2","ab_obs_mean","ab_obs_se","ab_pred_mean","ab_pred_se"
1,"Achromobacter.1","glucose_glycine","SA","glucose","glycine",0,0,0.014771424875,0.004614447058932
1,"Achromobacter.1","succinate_glycine","AA","succinate","glycine",0,0,0.015921577125,0.00500223578444782
1,"Achromobacter.2","glucose_benzoate","SA","glucose","benzoate",0,0,0.00029939425,7.16657900278359e-05
1,"Achromobacter.2","glucose_fructose","SS","glucose","fructose",0,0,0.00041306575,2.75167718678406e-05
1,"Achromobacter.2","glucose_fumarate","SA","glucose","fumarate",0,0,0.0013357929375,0.000127899284656733
1,"Achromobacter.2","glucose_glutamine","SA","glucose","glutamine",0,0,0.000844736333333333,0.000171050403605298
1,"Achromobacter.2","glucose_glycerol","SS","glucose","glycerol",0,0,0.000361853875,8.80766204878599e-06
1,"Achromobacter.2","glucose_glycine","SA","glucose","glycine",0,0,0.002801993375,0.000617506445498314
1,"Achromobacter.2","glucose_ribose","SS","glucose","ribose",0,0,0.000389915,1.348500665819e-05
1,"Achromobacter.2","succinate_benzoate","AA","succinate","benzoate",0,0,0.000526988607692308,0.000110545431962233
1,"Achromobacter.2","succinate_cellobiose","SA","succinate","cellobiose",0,0,0.00053167425,5.84905857631522e-06
1,"Achromobacter.2","succinate_fructose","SA","succinate","fructose",0,0,0.0005599173,6.86235798860631e-05
1,"Achromobacter.2","succinate_fumarate","AA","succinate","fumarate",0,0,0.0015090335,0.000140676507140348
1,"Achromobacter.2","succinate_glutamine","AA","succinate","glutamine",0,0,0.00100066076923077,0.000179975243141196
1,"Achromobacter.2","succinate_glycerol","SA","succinate","glycerol",0,0,0.0005480058,7.44433487129344e-05
1,"Achromobacter.2","succinate_glycine","AA","succinate","glycine",0,0,0.00289899211111111,0.000659315826192776
1,"Achromobacter.2","succinate_ribose","SA","succinate","ribose",0,0,0.000574979,7.64796826688849e-05
1,"Achromobacter.3","glucose_benzoate","SA","glucose","benzoate",0,0,0.000124819,6.01863369046497e-06
1,"Achromobacter.3","glucose_cellobiose","SS","glucose","cellobiose",0,0,9.0022075e-05,9.75926356831463e-07
1,"Achromobacter.3","glucose_fructose","SS","glucose","fructose",0,0,8.874895e-05,1.61432083242457e-07
1,"Achromobacter.3","glucose_fumarate","SA","glucose","fumarate",0.0001391595,8.03437747852937e-05,0.00186022625,7.95323278263573e-05
1,"Achromobacter.3","glucose_glutamine","SA","glucose","glutamine",0.002551264,0.00194915006790208,2.366954375e-05,1.05981211055387e-05
1,"Achromobacter.3","glucose_glycerol","SS","glucose","glycerol",0,0,0.0001778549,3.05384807374705e-05
1,"Achromobacter.3","glucose_glycine","SA","glucose","glycine",0.000402016333333333,0.000216470333333333,0.0230532100833333,0.00982441604816042
1,"Achromobacter.3","glucose_ribose","SS","glucose","ribose",0,0,0.00010169705,1.75643556742057e-06
1,"Achromobacter.3","succinate_benzoate","AA","succinate","benzoate",0,0,0.0010801925,9.5691381231727e-05
1,"Achromobacter.3","succinate_cellobiose","SA","succinate","cellobiose",0,0,0.000763174375,7.04218663666989e-05
1,"Achromobacter.3","succinate_fructose","SA","succinate","fructose",0,0,0.00075184275,6.94206792070093e-05
1,"Achromobacter.3","succinate_fumarate","AA","succinate","fumarate",0.00417478425,0.000800754950448156,0.00224015775,0.000115869271515377
1,"Achromobacter.3","succinate_glutamine","AA","succinate","glutamine",0,0,0.0008047835,7.42359438335443e-05
1,"Achromobacter.3","succinate_glycerol","SA","succinate","glycerol",0,0,0.0007775665,0.000113654408854821
1,"Achromobacter.3","succinate_glycine","AA","succinate","glycine",0,0,0.03781378825,0.0139997791593202
1,"Achromobacter.3","succinate_ribose","SA","succinate","ribose",0,0,0.000867807625,7.76742424522665e-05
1,"Acinetobacter.1","glucose_fumarate","SA","glucose","fumarate",0.000556638,0,0,0
1,"Acinetobacter.1","glucose_glutamine","SA","glucose","glutamine",9.28e-05,0,0,0
1,"Acinetobacter.1","glucose_glycine","SA","glucose","glycine",9.28e-05,0,0,0
1,"Acinetobacter.2","glucose_benzoate","SA","glucose","benzoate",0.00030151225,0.000183114099329887,0.0022497416875,0.000352949574785747
1,"Acinetobacter.2","glucose_cellobiose","SS","glucose","cellobiose",0.000278319,0.00016509076344595,0.000804016875,8.5847409854291e-05
1,"Acinetobacter.2","glucose_fructose","SS","glucose","fructose",0,0,0.001296138625,6.09422882504338e-05
1,"Acinetobacter.2","glucose_fumarate","SA","glucose","fumarate",0.03803692375,0.0154594889209669,0.22623246225,0.0063174495712071
1,"Acinetobacter.2","glucose_glutamine","SA","glucose","glutamine",0.000742184,0.000380633196666861,0.002351788125,0.00023369302984977
1,"Acinetobacter.2","glucose_glycerol","SS","glucose","glycerol",4.63865e-05,4.63865e-05,0.000202764975,4.66266063321116e-05
1,"Acinetobacter.2","glucose_glycine","SA","glucose","glycine",0.000587571333333333,0.000541833983204368,0.00098351475,0.000204092541676086
1,"Acinetobacter.2","glucose_ribose","SS","glucose","ribose",2.32e-05,2.32e-05,0.0010581553125,0.000110753925462927
1,"Acinetobacter.2","succinate_benzoate","AA","succinate","benzoate",0.001577141,0.000307693231675642,0.1498860518125,0.0417673350827905
1,"Acinetobacter.2","succinate_cellobiose","SA","succinate","cellobiose",0.001020503,0.000251230471637764,0.105212948375,0.0296824056735111
1,"Acinetobacter.2","succinate_fructose","SA","succinate","fructose",0.00095092325,0.00028688465865407,0.1041893783125,0.0292418288067038
1,"Acinetobacter.2","succinate_fumarate","AA","succinate","fumarate",0.3398506355,0.024217995411756,0.3216840463125,0.024350461061168
1,"Acinetobacter.2","succinate_glutamine","AA","succinate","glutamine",0.223698859,0.0176152004403117,0.1125320614375,0.0312901314452132
1,"Acinetobacter.2","succinate_glycerol","SA","succinate","glycerol",0.00081176375,0.000166711988233388,0.1176759658125,0.0332991177600703
1,"Acinetobacter.2","succinate_glycine","AA","succinate","glycine",0.316448650333333,0.15761638608658,0.12876300425,0.0421825932119138
1,"Acinetobacter.2","succinate_ribose","SA","succinate","ribose",0.00071899075,0.00020873925,0.119740945125,0.0336369692368606
1,"Acinetobacter.3","glucose_benzoate","SA","glucose","benzoate",0,0,0.00021465075,4.67341513911401e-06
1,"Acinetobacter.3","succinate_benzoate","AA","succinate","benzoate",0,0,0.0002360755,1.223997012864e-05
1,"Acinetobacter.5","succinate_fumarate","AA","succinate","fumarate",0.0004174785,4.63865e-05,0,0
1,"Acinetobacter.8","succinate_benzoate","AA","succinate","benzoate",0.000649411,0,0,0
1,"Acinetobacter.8","succinate_fumarate","AA","succinate","fumarate",0.000556638,0,0,0
1,"Acinetobacter.8","succinate_glycine","AA","succinate","glycine",0.000185546,0,0,0
1,"Acinetobacter.8","succinate_ribose","SA","succinate","ribose",0.000185546,0,0,0
1,"Acinetobacter.9","glucose_benzoate","SA","glucose","benzoate",0,0,0.001387666375,0.000311892780989101
1,"Acinetobacter.9","glucose_cellobiose","SS","glucose","cellobiose",0,0,9.112065e-05,9.7650364267967e-07
1,"Acinetobacter.9","glucose_fructose","SS","glucose","fructose",0,0,0.00044794925,9.14421582645053e-05
1,"Acinetobacter.9","glucose_fumarate","SA","glucose","fumarate",0,0,0.00062068825,0.00017003083599212
1,"Acinetobacter.9","glucose_glutamine","SA","glucose","glutamine",0,0,0.00194898810769231,0.000623223034456118
1,"Acinetobacter.9","glucose_glycerol","SS","glucose","glycerol",0,0,0.0001018545,3.68483943566973e-07
1,"Acinetobacter.9","glucose_glycine","SA","glucose","glycine",0,0,0.00120412488888889,0.000360956258340276
1,"Acinetobacter.9","glucose_ribose","SS","glucose","ribose",0,0,0.0005599443125,4.53542591442376e-05
1,"Acinetobacter.9","succinate_benzoate","AA","succinate","benzoate",0,0,0.0018186666875,0.000357331027368388
1,"Acinetobacter.9","succinate_cellobiose","SA","succinate","cellobiose",0,0,0.000312871583333333,2.68948681957083e-05
1,"Acinetobacter.9","succinate_fructose","SA","succinate","fructose",0,0,0.0006820746875,0.000105632559854065
1,"Acinetobacter.9","succinate_fumarate","AA","succinate","fumarate",0,0,0.000820112625,0.000182303775326534
1,"Acinetobacter.9","succinate_glutamine","AA","succinate","glutamine",0.00020873925,0.00020873925,0.0019136115625,0.000583342177520757
1,"Acinetobacter.9","succinate_glycerol","SA","succinate","glycerol",0,0,0.000353777333333333,3.05671992423284e-05
1,"Acinetobacter.9","succinate_glycine","AA","succinate","glycine",0,0,0.00134223318181818,0.000350596636401793
1,"Acinetobacter.9","succinate_ribose","SA","succinate","ribose",0,0,0.0008398306875,7.03884759796611e-05
1,"Aeromonas","glucose_cellobiose","SS","glucose","cellobiose",0.000371092,0,0,0
1,"Aeromonas","glucose_fructose","SS","glucose","fructose",0.00016235275,9.56282195513568e-05,0.00041283288125,5.80416772465113e-05
1,"Aeromonas","glucose_fumarate","SA","glucose","fumarate",4.63865e-05,4.63865e-05,0.00054742825,8.57482324532358e-05
1,"Aeromonas","glucose_glycerol","SS","glucose","glycerol",0.001206049,0,0,0
1,"Aeromonas","glucose_ribose","SS","glucose","ribose",9.28e-05,0,0,0
1,"Aeromonas","succinate_fructose","SA","succinate","fructose",0.000185546,0.000185546,0.0004376451,6.18570636558402e-05
1,"Aeromonas","succinate_fumarate","AA","succinate","fumarate",0,0,0.0005741911875,9.024967182319e-05
1,"Aeromonas","succinate_glutamine","AA","succinate","glutamine",9.28e-05,0,0,0
1,"Aeromonas","succinate_ribose","SA","succinate","ribose",0.000185546,0,0,0
1,"Alcaligenes.1","glucose_benzoate","SA","glucose","benzoate",0,0,0.00014624875,1.86834434874331e-05
1,"Alcaligenes.1","glucose_cellobiose","SS","glucose","cellobiose",0,0,0.000105764483333333,1.34143210947933e-05
1,"Alcaligenes.1","glucose_fructose","SS","glucose","fructose",0,0,0.000104279391666667,1.32179559870073e-05
1,"Alcaligenes.1","glucose_fumarate","SA","glucose","fumarate",0,0,8.63850083333333e-05,1.10163231495665e-05
1,"Alcaligenes.1","glucose_glutamine","SA","glucose","glutamine",0,0,0.000111193066666667,1.41430922653253e-05
1,"Alcaligenes.1","glucose_glycerol","SS","glucose","glycerol",0,0,0.000118286883333333,1.49247054629017e-05
1,"Alcaligenes.1","glucose_glycine","SA","glucose","glycine",0,0,0.000127963688888889,1.8889871783522e-05
1,"Alcaligenes.1","glucose_ribose","SS","glucose","ribose",0,0,0.000119372225,1.50975167253723e-05
1,"Arthrobacter","glucose_benzoate","SA","glucose","benzoate",0,0,8.87585125e-05,2.80017113421136e-06
1,"Arthrobacter","glucose_glutamine","SA","glucose","glutamine",0,0,0.000170371,2.6759690768019e-06
1,"Arthrobacter","succinate_benzoate","AA","succinate","benzoate",0,0,9.73723875e-05,4.31609457394387e-06
1,"Arthrobacter","succinate_glutamine","AA","succinate","glutamine",0,0,0.0001821685,6.70250272286405e-06
1,"Azomonas","glucose_fumarate","SA","glucose","fumarate",0,0,0.0015766753125,0.000139711825148223
1,"Azomonas","glucose_glycine","SA","glucose","glycine",0,0,0.0098260625,0.000172195289884528
1,"Azomonas","succinate_fumarate","AA","succinate","fumarate",0.0990119675,0.0139837323679191,0.0016533814375,0.000147479990824489
1,"Azomonas","succinate_glycerol","SA","succinate","glycerol",0.0099267095,0.0050097415,0,0
1,"Azomonas","succinate_glycine","AA","succinate","glycine",0,0,0.010594013,0.000437025593524948
1,"Brevundimonas.1","glucose_benzoate","SA","glucose","benzoate",0,0,6.2427675e-05,3.0101563509711e-06
