"Inoculum","Genus","CS_duo","CS_type_duo","CS1","CS2","ab_obs_mean","ab_obs_se","ab_pred_mean","ab_pred_se"
1,"Achromobacter","glucose_benzoate","SA","glucose","benzoate",0,0,0.000314769692307692,6.8657705344084e-05
1,"Achromobacter","glucose_cellobiose","SS","glucose","cellobiose",0,0,9.0022075e-05,9.75926356831463e-07
1,"Achromobacter","glucose_fructose","SS","glucose","fructose",0,0,0.00036595206,5.22510349721062e-05
1,"Achromobacter","glucose_fumarate","SA","glucose","fumarate",0.0001391595,8.03437747852937e-05,0.0031960191875,0.000163319267631614
1,"Achromobacter","glucose_glutamine","SA","glucose","glutamine",0.002551264,0.00194915006790208,0.00065722175625,0.000158296127642807
1,"Achromobacter","glucose_glycerol","SS","glucose","glycerol",0,0,0.000318447330769231,2.98896327224422e-05
1,"Achromobacter","glucose_glycine","SA","glucose","glycine",0.000402016333333333,0.000216470333333333,0.0347688221666667,0.00808232215796398
1,"Achromobacter","glucose_ribose","SS","glucose","ribose",0,0,0.00035261082,4.540967284559e-05
1,"Achromobacter","succinate_benzoate","AA","succinate","benzoate",0,0,0.00103282606666667,0.000122880723182918
1,"Achromobacter","succinate_cellobiose","SA","succinate","cellobiose",0,0,0.000686007666666667,5.64774530996774e-05
1,"Achromobacter","succinate_fructose","SA","succinate","fructose",0,0,0.000829565214285714,8.48537098744216e-05
1,"Achromobacter","succinate_fumarate","AA","succinate","fumarate",0.00417478425,0.000800754950448156,0.00374919125,0.000178586691087725
1,"Achromobacter","succinate_glutamine","AA","succinate","glutamine",0,0,0.0012964572,0.000177579974959727
1,"Achromobacter","succinate_glycerol","SA","succinate","glycerol",0,0,0.000883714866666667,9.43820386958222e-05
1,"Achromobacter","succinate_glycine","AA","succinate","glycine",0,0,0.0379978210833333,0.00872193528325763
1,"Achromobacter","succinate_ribose","SA","succinate","ribose",0,0,0.000906589357142857,9.38413983944882e-05
1,"Acinetobacter","glucose_benzoate","SA","glucose","benzoate",0.00030151225,0.000183114099329887,0.0036910709375,0.000605542984058581
1,"Acinetobacter","glucose_cellobiose","SS","glucose","cellobiose",0.000278319,0.00016509076344595,0.0008267970625,8.30374340516306e-05
1,"Acinetobacter","glucose_fructose","SS","glucose","fructose",0,0,0.0017440879375,0.000107907476709659
1,"Acinetobacter","glucose_fumarate","SA","glucose","fumarate",0.03817608325,0.0154250025203247,0.2268531505625,0.00617168944436802
1,"Acinetobacter","glucose_glutamine","SA","glucose","glutamine",0.000765384,0.000365979176827726,0.003935340875,0.000689716119229576
1,"Acinetobacter","glucose_glycerol","SS","glucose","glycerol",4.63865e-05,4.63865e-05,0.0002282286,4.01909062080891e-05
1,"Acinetobacter","glucose_glycine","SA","glucose","glycine",0.000618504666666667,0.000525704666666667,0.00188660858333333,0.000505592384133333
1,"Acinetobacter","glucose_ribose","SS","glucose","ribose",2.32e-05,2.32e-05,0.001618099375,9.48323689434799e-05
1,"Acinetobacter","succinate_benzoate","AA","succinate","benzoate",0.00173949375,0.000266133490312154,0.1517637373125,0.0417472743999567
1,"Acinetobacter","succinate_cellobiose","SA","succinate","cellobiose",0.001020503,0.000251230471637764,0.1054476023125,0.0296602275326709
1,"Acinetobacter","succinate_fructose","SA","succinate","fructose",0.00095092325,0.00028688465865407,0.104871453125,0.0292181144209145
1,"Acinetobacter","succinate_fumarate","AA","succinate","fumarate",0.34019853425,0.0243171719097166,0.322504159,0.024292617477943
1,"Acinetobacter","succinate_glutamine","AA","succinate","glutamine",0.22390759825,0.0175609277798915,0.1144456729375,0.0312860390313846
1,"Acinetobacter","succinate_glycerol","SA","succinate","glycerol",0.00081176375,0.000166711988233388,0.11794129875,0.0332743448066396
1,"Acinetobacter","succinate_glycine","AA","succinate","glycine",0.316510499,0.15765168805951,0.12999338475,0.042144938367138
1,"Acinetobacter","succinate_ribose","SA","succinate","ribose",0.00076537725,0.000186989959520725,0.1205807759375,0.0336096888847882
1,"Aeromonas","glucose_cellobiose","SS","glucose","cellobiose",0.000371092,0,0,0
1,"Aeromonas","glucose_fructose","SS","glucose","fructose",0.00016235275,9.56282195513568e-05,0.00041283288125,5.80416772465113e-05
1,"Aeromonas","glucose_fumarate","SA","glucose","fumarate",4.63865e-05,4.63865e-05,0.00054742825,8.57482324532358e-05
1,"Aeromonas","glucose_glycerol","SS","glucose","glycerol",0.001206049,0,0,0
1,"Aeromonas","glucose_ribose","SS","glucose","ribose",9.28e-05,0,0,0
1,"Aeromonas","succinate_fructose","SA","succinate","fructose",0.000185546,0.000185546,0.0004376451,6.18570636558402e-05
1,"Aeromonas","succinate_fumarate","AA","succinate","fumarate",0,0,0.0005741911875,9.024967182319e-05
1,"Aeromonas","succinate_glutamine","AA","succinate","glutamine",9.28e-05,0,0,0
1,"Aeromonas","succinate_ribose","SA","succinate","ribose",0.000185546,0,0,0
1,"Alcaligenes","glucose_benzoate","SA","glucose","benzoate",0,0,0.00014624875,1.86834434874331e-05
1,"Alcaligenes","glucose_cellobiose","SS","glucose","cellobiose",0,0,0.000105764483333333,1.34143210947933e-05
1,"Alcaligenes","glucose_fructose","SS","glucose","fructose",0,0,0.000104279391666667,1.32179559870073e-05
1,"Alcaligenes","glucose_fumarate","SA","glucose","fumarate",0,0,8.63850083333333e-05,1.10163231495665e-05
1,"Alcaligenes","glucose_glutamine","SA","glucose","glutamine",0,0,0.000111193066666667,1.41430922653253e-05
1,"Alcaligenes","glucose_glycerol","SS","glucose","glycerol",0,0,0.000118286883333333,1.49247054629017e-05
1,"Alcaligenes","glucose_glycine","SA","glucose","glycine",0,0,0.000127963688888889,1.8889871783522e-05
1,"Alcaligenes","glucose_ribose","SS","glucose","ribose",0,0,0.000119372225,1.50975167253723e-05
