"Carbon_Source","Inoculum","Replicate","od.mean"
"benzoate",1,1,0.092333333
"benzoate",1,2,0.076333333
"benzoate",1,3,0.148
"benzoate",1,4,0.125333333
"benzoate",2,1,0.108666667
"benzoate",2,2,0.051
"benzoate",2,3,0.128333333
"benzoate",2,4,0.137333333
"cellobiose",1,1,0.248
"cellobiose",1,2,0.224666667
"cellobiose",1,3,0.232333333
"cellobiose",1,4,0.239333333
"cellobiose",2,1,0.199666667
"cellobiose",2,2,0.227333333
"cellobiose",2,3,0.219
"cellobiose",2,4,0.196666667
"fructose",1,1,0.240333333
"fructose",1,2,0.243666667
"fructose",1,3,0.242
"fructose",1,4,0.244
"fructose",2,1,0.209333333
"fructose",2,2,0.208333333
"fructose",2,3,0.195333333
"fructose",2,4,0.237
"fumarate",1,1,0.337
"fumarate",1,2,0.346666667
"fumarate",1,3,0.339666667
"fumarate",1,4,0.334666667
"fumarate",2,1,0.289333333
"fumarate",2,2,0.268333333
"fumarate",2,3,0.332666667
"fumarate",2,4,0.316
"glucose",1,1,0.227666667
"glucose",1,2,0.203
"glucose",1,3,0.222333333
"glucose",1,4,0.231
"glucose",2,1,0.190666667
"glucose",2,2,0.178666667
"glucose",2,3,0.193333333
"glucose",2,4,0.192
"glutamine",1,1,0.221
"glutamine",1,2,0.187333333
"glutamine",1,3,0.238
"glutamine",1,4,0.210333333
"glutamine",2,1,0.213333333
"glutamine",2,2,0.201666667
"glutamine",2,3,0.215
"glutamine",2,4,0.215666667
"glycerol",1,1,0.190666667
"glycerol",1,2,0.183333333
"glycerol",1,3,0.187
"glycerol",1,4,0.187333333
"glycerol",2,1,0.189
"glycerol",2,2,0.182
"glycerol",2,3,0.175
"glycerol",2,4,0.184666667
"glycine",1,1,0.160333333
"glycine",1,2,0.161666667
"glycine",1,3,0.146
"glycine",2,1,0.146666667
"glycine",2,2,0.15
"glycine",2,3,0.168666667
"ribose",1,1,0.19
"ribose",1,2,0.195
"ribose",1,3,0.164
"ribose",1,4,0.185666667
"ribose",2,1,0.211333333
"ribose",2,2,0.208333333
"ribose",2,3,0.197
"ribose",2,4,0.205
"succinate",1,1,0.167333333
"succinate",1,2,0.224
"succinate",1,3,0.215666667
"succinate",1,4,0.176333333
"succinate",2,1,0.188
"succinate",2,2,0.189666667
"succinate",2,3,0.287666667
"succinate",2,4,0.178333333
