"Inoculum","Carbon_Source","Family","Replicate","sum_relab","Family_type","cs.ord","fam.ord"
2,"glucose","Enterobacteriaceae",3,0.99935059,"Enterobacteriaceae","glucose","Enterobacteriaceae"
2,"glutamine","Comamonadaceae",3,0.016049727,"Comamonadaceae","glutamine","Comamonadaceae"
2,"glutamine","Moraxellaceae",3,0.493830597,"Moraxellaceae","glutamine","Moraxellaceae"
2,"glutamine","Pseudomonadaceae",3,0.160126171,"Pseudomonadaceae","glutamine","Pseudomonadaceae"
2,"glutamine","Rhizobiaceae",3,0.32015957,"Rhizobiaceae","glutamine","Rhizobiaceae"
2,"glucose","Moraxellaceae",3,0.000556638,"Other","glucose","Other"
2,"glucose","Pseudomonadaceae",3,9.28e-05,"Other","glucose","Other"
2,"glutamine","Brucellaceae",3,0.002875963,"Other","glutamine","Other"
2,"glutamine","Enterobacteriaceae",3,0.001669914,"Other","glutamine","Other"
2,"glutamine","Flavobacteriaceae",3,0.003339827,"Other","glutamine","Other"
2,"glutamine","Lachnospiraceae",3,0.001762687,"Other","glutamine","Other"
2,"glutamine","Sphingobacteriaceae",3,0.000185546,"Other","glutamine","Other"
2,"glucose_glutamine","Enterobacteriaceae",2,0.930513035,"Enterobacteriaceae","glucose_glutamine","Enterobacteriaceae"
2,"glucose_glutamine","Moraxellaceae",2,0.022822154,"Moraxellaceae","glucose_glutamine","Moraxellaceae"
2,"glucose_glutamine","Pseudomonadaceae",2,0.037201968,"Pseudomonadaceae","glucose_glutamine","Pseudomonadaceae"
2,"glucose_glutamine","Brucellaceae",2,0.000185546,"Other","glucose_glutamine","Other"
2,"glucose_glutamine","Chitinophagaceae",2,0.000185546,"Other","glucose_glutamine","Other"
2,"glucose_glutamine","Comamonadaceae",2,0.001206049,"Other","glucose_glutamine","Other"
2,"glucose_glutamine","Flavobacteriaceae",2,0.00092773,"Other","glucose_glutamine","Other"
2,"glucose_glutamine","Lachnospiraceae",2,0.003154281,"Other","glucose_glutamine","Other"
2,"glucose_glutamine","Rhizobiaceae",2,0.003525374,"Other","glucose_glutamine","Other"
2,"glucose_glutamine","Sphingobacteriaceae",2,0.000278346,"Other","glucose_glutamine","Other"
