"Inoculum","Carbon_Source","Family","Replicate","sum_relab","Family_type","cs.ord"
2,"fructose","Enterobacteriaceae",2,0.998330087,"Enterobacteriaceae","fructose"
2,"succinate","Enterobacteriaceae",2,0.046572038,"Enterobacteriaceae","succinate"
2,"succinate","Moraxellaceae",2,0.386863346,"Moraxellaceae","succinate"
2,"succinate","Pseudomonadaceae",2,0.191947306,"Pseudomonadaceae","succinate"
2,"succinate","Rhizobiaceae",2,0.367288273,"Rhizobiaceae","succinate"
2,"succinate_fructose","Enterobacteriaceae",2,0.872066054,"Enterobacteriaceae","succinate_fructose"
2,"succinate_fructose","Pseudomonadaceae",2,0.123295297,"Pseudomonadaceae","succinate_fructose"
2,"fructose","Comamonadaceae",2,0.000278319,"Other","fructose"
2,"fructose","Moraxellaceae",2,0.001020503,"Other","fructose"
2,"fructose","Pseudomonadaceae",2,0.000185546,"Other","fructose"
2,"fructose","Rhizobiaceae",2,0.000185546,"Other","fructose"
2,"succinate","Aeromonadaceae",2,0.000556638,"Other","succinate"
2,"succinate","Alcaligenaceae",2,0.000278319,"Other","succinate"
2,"succinate","Chitinophagaceae",2,0.000371092,"Other","succinate"
2,"succinate","Comamonadaceae",2,0.002226552,"Other","succinate"
2,"succinate","Flavobacteriaceae",2,0.001577141,"Other","succinate"
2,"succinate","Lachnospiraceae",2,0.001113276,"Other","succinate"
2,"succinate","Xanthomonadaceae",2,0.001206049,"Other","succinate"
2,"succinate_fructose","Aeromonadaceae",2,0.000649411,"Other","succinate_fructose"
2,"succinate_fructose","Flavobacteriaceae",2,9.28e-05,"Other","succinate_fructose"
2,"succinate_fructose","Moraxellaceae",2,0.00287599,"Other","succinate_fructose"
2,"succinate_fructose","Oxalobacteraceae",2,0.000278319,"Other","succinate_fructose"
2,"succinate_fructose","Rhizobiaceae",2,0.000278319,"Other","succinate_fructose"
2,"succinate_fructose","Sphingobacteriaceae",2,0.000371092,"Other","succinate_fructose"
2,"succinate_fructose","Xanthomonadaceae",2,9.28e-05,"Other","succinate_fructose"
