"Inoculum","Family","CS_duo","CS_type_duo","CS1","CS2","ab_obs_mean","ab_obs_se","ab_pred_mean","ab_pred_se"
1,"Aeromonadaceae","glucose_cellobiose","SS","glucose","cellobiose",0.000371092,0,0,0
1,"Aeromonadaceae","glucose_fructose","SS","glucose","fructose",0.00016235275,9.56282195513568e-05,0.00041283288125,5.80416772465113e-05
1,"Aeromonadaceae","glucose_fumarate","SA","glucose","fumarate",4.63865e-05,4.63865e-05,0.00054742825,8.57482324532358e-05
1,"Aeromonadaceae","glucose_glycerol","SS","glucose","glycerol",0.001206049,0,0,0
1,"Aeromonadaceae","glucose_ribose","SS","glucose","ribose",9.28e-05,0,0,0
1,"Aeromonadaceae","succinate_fructose","SA","succinate","fructose",0.000185546,0.000185546,0.0004376451,6.18570636558402e-05
1,"Aeromonadaceae","succinate_fumarate","AA","succinate","fumarate",0,0,0.0005741911875,9.024967182319e-05
1,"Aeromonadaceae","succinate_glutamine","AA","succinate","glutamine",9.28e-05,0,0,0
1,"Aeromonadaceae","succinate_ribose","SA","succinate","ribose",0.000185546,0,0,0
1,"Alcaligenaceae","glucose_benzoate","SA","glucose","benzoate",0,0,0.0003654370375,6.16235102286436e-05
1,"Alcaligenaceae","glucose_cellobiose","SS","glucose","cellobiose",0,0,0.00010182888125,1.01051778857764e-05
1,"Alcaligenaceae","glucose_fructose","SS","glucose","fructose",0,0,0.00030692954375,5.56163419863105e-05
1,"Alcaligenaceae","glucose_fumarate","SA","glucose","fumarate",0.0001391595,8.03437747852937e-05,0.0032608081875,0.000162527514568104
1,"Alcaligenaceae","glucose_glutamine","SA","glucose","glutamine",0.002551264,0.00194915006790208,0.00074061655625,0.000157408847265644
1,"Alcaligenaceae","glucose_glycerol","SS","glucose","glycerol",0,0,0.000347453625,3.97841704817554e-05
1,"Alcaligenaceae","glucose_glycine","SA","glucose","glycine",0.000402016333333333,0.000216470333333333,0.034864795,0.00808176170092292
1,"Alcaligenaceae","glucose_ribose","SS","glucose","ribose",0,0,0.000309910925,5.22763174194846e-05
1,"Alcaligenaceae","succinate_benzoate","AA","succinate","benzoate",0,0,0.00103282606666667,0.000122880723182918
1,"Alcaligenaceae","succinate_cellobiose","SA","succinate","cellobiose",0,0,0.000686007666666667,5.64774530996774e-05
1,"Alcaligenaceae","succinate_fructose","SA","succinate","fructose",0,0,0.000829565214285714,8.48537098744216e-05
1,"Alcaligenaceae","succinate_fumarate","AA","succinate","fumarate",0.00417478425,0.000800754950448156,0.00374919125,0.000178586691087725
1,"Alcaligenaceae","succinate_glutamine","AA","succinate","glutamine",0,0,0.0012964572,0.000177579974959727
1,"Alcaligenaceae","succinate_glycerol","SA","succinate","glycerol",0,0,0.000883714866666667,9.43820386958222e-05
1,"Alcaligenaceae","succinate_glycine","AA","succinate","glycine",0,0,0.0379978210833333,0.00872193528325762
1,"Alcaligenaceae","succinate_ribose","SA","succinate","ribose",0,0,0.000906589357142857,9.38413983944882e-05
1,"Brucellaceae","glucose_benzoate","SA","glucose","benzoate",0,0,0.000250743308333333,5.35262714269591e-05
1,"Brucellaceae","glucose_cellobiose","SS","glucose","cellobiose",0,0,0.00020183585,3.8145667309248e-05
1,"Brucellaceae","glucose_fructose","SS","glucose","fructose",0,0,0.000224973,3.47170165666019e-05
1,"Brucellaceae","glucose_fumarate","SA","glucose","fumarate",0.00011596625,6.957975e-05,0.001063778875,6.25705302863547e-05
1,"Brucellaceae","glucose_glutamine","SA","glucose","glutamine",0.00071899075,0.000425771472687594,0.00015184,3.88223070888375e-05
1,"Brucellaceae","glucose_glycerol","SS","glucose","glycerol",0,0,0.00025498725,3.92531937898734e-05
1,"Brucellaceae","glucose_glycine","SA","glucose","glycine",0,0,0.00576883891666667,0.00115467011432854
1,"Brucellaceae","glucose_ribose","SS","glucose","ribose",0,0,0.00022301946,4.35482181897701e-05
1,"Brucellaceae","succinate_benzoate","AA","succinate","benzoate",0,0,0.008390581625,0.00210719026791791
1,"Brucellaceae","succinate_cellobiose","SA","succinate","cellobiose",0.00429075075,0.00230454973163289,0.0059616268125,0.00151885759811727
1,"Brucellaceae","succinate_fructose","SA","succinate","fructose",0.01414788025,0.0039375728995403,0.0058620204375,0.00149732332350436
1,"Brucellaceae","succinate_fumarate","AA","succinate","fumarate",0.00967158375,0.00230143558561352,0.0058426655625,0.0012367574183869
1,"Brucellaceae","succinate_glutamine","AA","succinate","glutamine",0.00378049925,0.00122045842953399,0.0063012669375,0.00159886497128663
1,"Brucellaceae","succinate_glycerol","SA","succinate","glycerol",0.000371092,0.000227246511907224,0.006684018,0.00169634221502506
1,"Brucellaceae","succinate_glycine","AA","succinate","glycine",0.00219562766666667,0.000409090477302325,0.0133090919166667,0.00239752120098099
1,"Brucellaceae","succinate_ribose","SA","succinate","ribose",4.63865e-05,4.63865e-05,0.0067598451875,0.00171308799596687
1,"Burkholderiaceae","succinate_glycerol","SA","succinate","glycerol",9.28e-05,0,0,0
1,"Caulobacteraceae","glucose_benzoate","SA","glucose","benzoate",0,0,4.93055428571429e-05,1.00441500811799e-05
1,"Caulobacteraceae","glucose_cellobiose","SS","glucose","cellobiose",0,0,4.502415e-05,4.88114789265804e-07
1,"Caulobacteraceae","glucose_fructose","SS","glucose","fructose",0,0,4.4387375e-05,8.07325045546512e-08
1,"Caulobacteraceae","glucose_fumarate","SA","glucose","fumarate",0,0,3.6725925e-05,1.68966083258348e-07
1,"Caulobacteraceae","glucose_glutamine","SA","glucose","glutamine",0,0,8.01046428571429e-05,1.30648206645949e-05
1,"Caulobacteraceae","glucose_glycerol","SS","glucose","glycerol",0,0,5.0396975e-05,1.84670428850065e-07
1,"Caulobacteraceae","glucose_glycine","SA","glucose","glycine",0,0,5.45547666666667e-05,7.3256260786669e-07
1,"Caulobacteraceae","glucose_ribose","SS","glucose","ribose",0,0,5.086335e-05,8.78461361794967e-07
1,"Caulobacteraceae","succinate_benzoate","AA","succinate","benzoate",0,0,0.000800036723076923,0.000252936091846121
1,"Caulobacteraceae","succinate_cellobiose","SA","succinate","cellobiose",0,0,0.000589809666666667,0.000178513756441411
1,"Caulobacteraceae","succinate_fructose","SA","succinate","fructose",0,0,0.000580482916666667,0.00017553269715452
1,"Caulobacteraceae","succinate_fumarate","AA","succinate","fumarate",0,0,0.000470976908333333,0.000141661959726337
1,"Caulobacteraceae","succinate_glutamine","AA","succinate","glutamine",0,0,0.000606578161538462,0.000180070947774319
1,"Caulobacteraceae","succinate_glycerol","SA","succinate","glycerol",0,0,0.00066952225,0.000203329338524821
1,"Caulobacteraceae","succinate_glycine","AA","succinate","glycine",0.000278319,0.000278319,0.000549650416666667,0.000215779795265123
1,"Caulobacteraceae","succinate_ribose","SA","succinate","ribose",0,0,0.00067664275,0.000205801047093484
1,"Cellulomonadaceae","glucose_glycine","SA","glucose","glycine",0,0,7.8452975e-05,1.31705175826857e-06
1,"Cellulomonadaceae","succinate_glycine","AA","succinate","glycine",0,0,8.4299325e-05,3.32477652290972e-06
1,"Chitinophagaceae","glucose_benzoate","SA","glucose","benzoate",0,0,0.000441073625,9.72180579632232e-05
1,"Chitinophagaceae","glucose_cellobiose","SS","glucose","cellobiose",0,0,0.0003199515,6.99401319282632e-05
1,"Chitinophagaceae","glucose_fructose","SS","glucose","fructose",0,0,0.000315493625,6.89307480239452e-05
1,"Chitinophagaceae","glucose_fumarate","SA","glucose","fumarate",0,0,0.0087315385,0.00358035976041599
1,"Chitinophagaceae","glucose_glutamine","SA","glucose","glutamine",0,0,0.000336237875,7.36642030467691e-05
1,"Chitinophagaceae","glucose_glycerol","SS","glucose","glycerol",0,0,0.000357509375,7.80035966217349e-05
1,"Chitinophagaceae","glucose_glycine","SA","glucose","glycine",0,0,0.000328899725,9.16478675228877e-05
1,"Chitinophagaceae","glucose_ribose","SS","glucose","ribose",0,0,0.000360758125,7.88320090616381e-05
1,"Chitinophagaceae","succinate_benzoate","AA","succinate","benzoate",0,0,0.0001251195,6.00293190171825e-06
1,"Chitinophagaceae","succinate_cellobiose","SA","succinate","cellobiose",0,0,9.0368125e-05,9.76159769517776e-07
1,"Chitinophagaceae","succinate_fructose","SA","succinate","fructose",0,0,8.909475e-05,1.61484676775641e-07
1,"Chitinophagaceae","succinate_fumarate","AA","succinate","fumarate",0.010831246,0.010831246,0.00674514606875,0.00296847245651635
1,"Chitinophagaceae","succinate_glutamine","AA","succinate","glutamine",0,0,9.5023825e-05,2.32637609397642e-06
1,"Chitinophagaceae","succinate_glycerol","SA","succinate","glycerol",2.32e-05,2.32e-05,2.5277125e-05,1.13045749012936e-05
1,"Chitinophagaceae","succinate_glycine","AA","succinate","glycine",0,0,0.000110653216666667,1.58174146614508e-05
1,"Chitinophagaceae","succinate_ribose","SA","succinate","ribose",0,0,0.00010203975,1.75488026063509e-06
1,"Comamonadaceae","glucose_benzoate","SA","glucose","benzoate",6.95865e-05,4.44128680555159e-05,0.001117519125,0.000108284818777414
1,"Comamonadaceae","glucose_cellobiose","SS","glucose","cellobiose",0,0,0.0005524779375,6.40462647708324e-05
1,"Comamonadaceae","glucose_fructose","SS","glucose","fructose",0,0,0.00046912900625,6.07502782003647e-05
1,"Comamonadaceae","glucose_fumarate","SA","glucose","fumarate",0.00825679575,0.00145508742511337,0.006707359125,0.000941926743890101
1,"Comamonadaceae","glucose_glutamine","SA","glucose","glutamine",2.32e-05,2.32e-05,0.0870741535,0.0041971005592656
