"Family","CS_type_duo","outcome2","frac","fam.ord"
"other","AA","- dominance",3.57142857142857,"other"
"other","AA","+ dominance",3.57142857142857,"other"
"other","AA","antagonism",7.14285714285714,"other"
"other","AA","no interaction",85.7142857142857,"other"
"other","SA","- dominance",22.7272727272727,"other"
"other","SA","+ dominance",2.27272727272727,"other"
"other","SA","antagonism",4.54545454545455,"other"
"other","SA","no interaction",70.4545454545455,"other"
"other","SS","antagonism",22.2222222222222,"other"
"other","SS","no interaction",77.7777777777778,"other"
"Enterobacteriaceae","AA","antagonism",25,"Enterobacteriaceae"
"Enterobacteriaceae","AA","no interaction",50,"Enterobacteriaceae"
"Enterobacteriaceae","AA","synergy",25,"Enterobacteriaceae"
"Enterobacteriaceae","SA","- dominance",12.5,"Enterobacteriaceae"
"Enterobacteriaceae","SA","+ dominance",87.5,"Enterobacteriaceae"
"Enterobacteriaceae","SS","no interaction",100,"Enterobacteriaceae"
"Moraxellaceae","AA","antagonism",25,"Moraxellaceae"
"Moraxellaceae","AA","no interaction",75,"Moraxellaceae"
"Moraxellaceae","SA","- dominance",62.5,"Moraxellaceae"
"Moraxellaceae","SA","no interaction",37.5,"Moraxellaceae"
"Moraxellaceae","SS","no interaction",100,"Moraxellaceae"
"Pseudomonadaceae","AA","+ dominance",25,"Pseudomonadaceae"
"Pseudomonadaceae","AA","no interaction",75,"Pseudomonadaceae"
"Pseudomonadaceae","SA","- dominance",37.5,"Pseudomonadaceae"
"Pseudomonadaceae","SA","+ dominance",12.5,"Pseudomonadaceae"
"Pseudomonadaceae","SA","no interaction",50,"Pseudomonadaceae"
"Pseudomonadaceae","SS","no interaction",100,"Pseudomonadaceae"
"Rhizobiaceae","AA","- dominance",50,"Rhizobiaceae"
"Rhizobiaceae","AA","no interaction",50,"Rhizobiaceae"
"Rhizobiaceae","SA","- dominance",62.5,"Rhizobiaceae"
"Rhizobiaceae","SA","antagonism",12.5,"Rhizobiaceae"
"Rhizobiaceae","SA","no interaction",25,"Rhizobiaceae"
"Rhizobiaceae","SS","antagonism",50,"Rhizobiaceae"
"Rhizobiaceae","SS","no interaction",50,"Rhizobiaceae"
