"Family","Inoculum","CS_duo","CS_type_duo","dom_cs_type","outcome2","dom_cs_v","epsi_sd"
"Enterobacteriaceae",1,"glucose_fructose","SS","focal","no interaction",-0.0358424135936001,0.118471261484199
"Enterobacteriaceae",2,"glucose_fructose","SS","focal","no interaction",-0.0358424135936001,0.118471261484199
"Enterobacteriaceae",1,"glucose_fructose","SS","focal","no interaction",-0.0358424135936001,0.118471261484199
"Enterobacteriaceae",2,"glucose_fructose","SS","focal","no interaction",-0.0358424135936001,0.118471261484199
"Enterobacteriaceae",2,"glucose_fructose","SS","focal","no interaction",-0.0358424135936001,0.118471261484199
"Enterobacteriaceae",2,"glucose_fructose","SS","focal","no interaction",-0.0358424135936001,0.118471261484199
"Enterobacteriaceae",1,"glucose_fructose","SS","focal","no interaction",-0.0358424135936001,0.118471261484199
"Enterobacteriaceae",1,"glucose_fructose","SS","focal","no interaction",-0.0358424135936001,0.118471261484199
"Enterobacteriaceae",1,"glucose_glycerol","SS","focal","no interaction",-0.00476994044244066,0.0157581408087406
"Enterobacteriaceae",1,"glucose_glycerol","SS","focal","no interaction",-0.00476994044244066,0.0157581408087406
"Enterobacteriaceae",2,"glucose_glycerol","SS","additional","no interaction",0.00476994044244066,0.0157581408087406
"Enterobacteriaceae",1,"glucose_glycerol","SS","focal","no interaction",-0.00476994044244066,0.0157581408087406
"Enterobacteriaceae",2,"glucose_glycerol","SS","additional","no interaction",0.00476994044244066,0.0157581408087406
"Enterobacteriaceae",1,"glucose_glycerol","SS","focal","no interaction",-0.00476994044244066,0.0157581408087406
"Enterobacteriaceae",2,"glucose_glycerol","SS","additional","no interaction",0.00476994044244066,0.0157581408087406
"Enterobacteriaceae",2,"glucose_glycerol","SS","additional","no interaction",0.00476994044244066,0.0157581408087406
"Enterobacteriaceae",1,"glucose_ribose","SS","additional","no interaction",0.0076931681412496,0.0778743001642531
"Enterobacteriaceae",2,"glucose_ribose","SS","focal","no interaction",-0.0076931681412496,0.0778743001642531
"Enterobacteriaceae",1,"glucose_ribose","SS","additional","no interaction",0.0076931681412496,0.0778743001642531
"Enterobacteriaceae",1,"glucose_ribose","SS","additional","no interaction",0.0076931681412496,0.0778743001642531
"Enterobacteriaceae",1,"glucose_ribose","SS","additional","no interaction",0.0076931681412496,0.0778743001642531
"Enterobacteriaceae",2,"glucose_ribose","SS","focal","no interaction",-0.0076931681412496,0.0778743001642531
"Enterobacteriaceae",2,"glucose_ribose","SS","focal","no interaction",-0.0076931681412496,0.0778743001642531
"Enterobacteriaceae",2,"glucose_ribose","SS","focal","no interaction",-0.0076931681412496,0.0778743001642531
"Enterobacteriaceae",1,"succinate_benzoate","AA","additional","no interaction",0.0271486460015991,0.0395143637140388
"Enterobacteriaceae",2,"succinate_benzoate","AA","additional","no interaction",0.0271486460015991,0.0395143637140388
"Enterobacteriaceae",1,"succinate_benzoate","AA","additional","no interaction",0.0271486460015991,0.0395143637140388
"Enterobacteriaceae",2,"succinate_benzoate","AA","additional","no interaction",0.0271486460015991,0.0395143637140388
"Enterobacteriaceae",2,"succinate_benzoate","AA","additional","no interaction",0.0271486460015991,0.0395143637140388
"Enterobacteriaceae",1,"succinate_benzoate","AA","additional","no interaction",0.0271486460015991,0.0395143637140388
"Enterobacteriaceae",2,"succinate_benzoate","AA","additional","no interaction",0.0271486460015991,0.0395143637140388
"Enterobacteriaceae",1,"succinate_benzoate","AA","additional","no interaction",0.0271486460015991,0.0395143637140388
"Enterobacteriaceae",2,"succinate_glycine","AA","focal","no interaction",-0.00146121324365278,0.0700944713942431
"Enterobacteriaceae",1,"succinate_glycine","AA","focal","no interaction",-0.00146121324365278,0.0700944713942431
"Enterobacteriaceae",1,"succinate_glycine","AA","focal","no interaction",-0.00146121324365278,0.0700944713942431
"Enterobacteriaceae",2,"succinate_glycine","AA","focal","no interaction",-0.00146121324365278,0.0700944713942431
"Enterobacteriaceae",2,"succinate_glycine","AA","focal","no interaction",-0.00146121324365278,0.0700944713942431
"Enterobacteriaceae",1,"succinate_glycine","AA","focal","no interaction",-0.00146121324365278,0.0700944713942431
"Moraxellaceae",2,"glucose_glycerol","SS","focal","no interaction",-0.00112313075574635,0.00197003376904169
"Moraxellaceae",1,"glucose_glycerol","SS","focal","no interaction",-0.00112313075574635,0.00197003376904169
"Moraxellaceae",1,"glucose_glycerol","SS","focal","no interaction",-0.00112313075574635,0.00197003376904169
"Moraxellaceae",2,"glucose_glycerol","SS","focal","no interaction",-0.00112313075574635,0.00197003376904169
"Moraxellaceae",1,"glucose_glycerol","SS","focal","no interaction",-0.00112313075574635,0.00197003376904169
"Moraxellaceae",2,"glucose_glycerol","SS","focal","no interaction",-0.00112313075574635,0.00197003376904169
"Moraxellaceae",1,"glucose_glycerol","SS","focal","no interaction",-0.00112313075574635,0.00197003376904169
"Moraxellaceae",2,"glucose_glycerol","SS","focal","no interaction",-0.00112313075574635,0.00197003376904169
"Moraxellaceae",2,"glucose_ribose","SS","additional","no interaction",0.000472947729330555,0.00186101946221123
"Moraxellaceae",1,"glucose_ribose","SS","focal","no interaction",-0.000472947729330555,0.00186101946221123
"Moraxellaceae",1,"glucose_ribose","SS","focal","no interaction",-0.000472947729330555,0.00186101946221123
"Moraxellaceae",1,"glucose_ribose","SS","focal","no interaction",-0.000472947729330555,0.00186101946221123
"Moraxellaceae",2,"glucose_ribose","SS","additional","no interaction",0.000472947729330555,0.00186101946221123
"Moraxellaceae",1,"glucose_ribose","SS","focal","no interaction",-0.000472947729330555,0.00186101946221123
"Moraxellaceae",2,"glucose_ribose","SS","additional","no interaction",0.000472947729330555,0.00186101946221123
"Moraxellaceae",2,"glucose_ribose","SS","additional","no interaction",0.000472947729330555,0.00186101946221123
"Moraxellaceae",1,"succinate_fumarate","AA","additional","no interaction",0.1261875733735,0.229008218447623
"Moraxellaceae",1,"succinate_fumarate","AA","additional","no interaction",0.1261875733735,0.229008218447623
"Moraxellaceae",2,"succinate_fumarate","AA","focal","no interaction",-0.1261875733735,0.229008218447623
"Moraxellaceae",1,"succinate_fumarate","AA","additional","no interaction",0.1261875733735,0.229008218447623
"Moraxellaceae",2,"succinate_fumarate","AA","focal","no interaction",-0.1261875733735,0.229008218447623
"Moraxellaceae",2,"succinate_fumarate","AA","focal","no interaction",-0.1261875733735,0.229008218447623
"Moraxellaceae",2,"succinate_fumarate","AA","focal","no interaction",-0.1261875733735,0.229008218447623
"Moraxellaceae",1,"succinate_fumarate","AA","additional","no interaction",0.1261875733735,0.229008218447623
"Moraxellaceae",1,"succinate_glutamine","AA","focal","no interaction",-0.0214027751402631,0.145397924961778
"Moraxellaceae",1,"succinate_glutamine","AA","focal","no interaction",-0.0214027751402631,0.145397924961778
"Moraxellaceae",2,"succinate_glutamine","AA","additional","no interaction",0.0214027751402631,0.145397924961778
"Moraxellaceae",2,"succinate_glutamine","AA","additional","no interaction",0.0214027751402631,0.145397924961778
"Moraxellaceae",2,"succinate_glutamine","AA","additional","no interaction",0.0214027751402631,0.145397924961778
"Moraxellaceae",1,"succinate_glutamine","AA","focal","no interaction",-0.0214027751402631,0.145397924961778
"Moraxellaceae",2,"succinate_glutamine","AA","additional","no interaction",0.0214027751402631,0.145397924961778
"Moraxellaceae",1,"succinate_glutamine","AA","focal","no interaction",-0.0214027751402631,0.145397924961778
"Moraxellaceae",2,"succinate_glycine","AA","focal","no interaction",-0.249114067201123,0.209005149407338
"Moraxellaceae",1,"succinate_glycine","AA","focal","no interaction",-0.249114067201123,0.209005149407338
"Moraxellaceae",1,"succinate_glycine","AA","focal","no interaction",-0.249114067201123,0.209005149407338
"Moraxellaceae",1,"succinate_glycine","AA","focal","no interaction",-0.249114067201123,0.209005149407338
"Moraxellaceae",2,"succinate_glycine","AA","focal","no interaction",-0.249114067201123,0.209005149407338
"Moraxellaceae",2,"succinate_glycine","AA","focal","no interaction",-0.249114067201123,0.209005149407338
"Pseudomonadaceae",1,"glucose_cellobiose","SS","additional","no interaction",0.00267394478861241,0.00776757527539808
"Pseudomonadaceae",2,"glucose_cellobiose","SS","focal","no interaction",-0.00267394478861241,0.00776757527539808
"Pseudomonadaceae",2,"glucose_cellobiose","SS","focal","no interaction",-0.00267394478861241,0.00776757527539808
"Pseudomonadaceae",2,"glucose_cellobiose","SS","focal","no interaction",-0.00267394478861241,0.00776757527539808
"Pseudomonadaceae",1,"glucose_cellobiose","SS","additional","no interaction",0.00267394478861241,0.00776757527539808
"Pseudomonadaceae",2,"glucose_cellobiose","SS","focal","no interaction",-0.00267394478861241,0.00776757527539808
"Pseudomonadaceae",1,"glucose_cellobiose","SS","additional","no interaction",0.00267394478861241,0.00776757527539808
"Pseudomonadaceae",1,"glucose_cellobiose","SS","additional","no interaction",0.00267394478861241,0.00776757527539808
"Pseudomonadaceae",2,"glucose_fructose","SS","focal","no interaction",-0.0369111923637046,0.113029001563125
"Pseudomonadaceae",2,"glucose_fructose","SS","focal","no interaction",-0.0369111923637046,0.113029001563125
"Pseudomonadaceae",1,"glucose_fructose","SS","focal","no interaction",-0.0369111923637046,0.113029001563125
"Pseudomonadaceae",2,"glucose_fructose","SS","focal","no interaction",-0.0369111923637046,0.113029001563125
"Pseudomonadaceae",1,"glucose_fructose","SS","focal","no interaction",-0.0369111923637046,0.113029001563125
"Pseudomonadaceae",1,"glucose_fructose","SS","focal","no interaction",-0.0369111923637046,0.113029001563125
"Pseudomonadaceae",1,"glucose_fructose","SS","focal","no interaction",-0.0369111923637046,0.113029001563125
"Pseudomonadaceae",2,"glucose_fructose","SS","focal","no interaction",-0.0369111923637046,0.113029001563125
"Pseudomonadaceae",2,"glucose_glycerol","SS","additional","no interaction",0.00452731105163526,0.0118798613554266
"Pseudomonadaceae",1,"glucose_glycerol","SS","focal","no interaction",-0.00452731105163526,0.0118798613554266
"Pseudomonadaceae",2,"glucose_glycerol","SS","additional","no interaction",0.00452731105163526,0.0118798613554266
"Pseudomonadaceae",2,"glucose_glycerol","SS","additional","no interaction",0.00452731105163526,0.0118798613554266
"Pseudomonadaceae",1,"glucose_glycerol","SS","focal","no interaction",-0.00452731105163526,0.0118798613554266
"Pseudomonadaceae",1,"glucose_glycerol","SS","focal","no interaction",-0.00452731105163526,0.0118798613554266
"Pseudomonadaceae",2,"glucose_glycerol","SS","additional","no interaction",0.00452731105163526,0.0118798613554266
"Pseudomonadaceae",1,"glucose_glycerol","SS","focal","no interaction",-0.00452731105163526,0.0118798613554266
"Pseudomonadaceae",1,"glucose_ribose","SS","additional","no interaction",0.0137598147917832,0.0771674479379361
"Pseudomonadaceae",1,"glucose_ribose","SS","additional","no interaction",0.0137598147917832,0.0771674479379361
"Pseudomonadaceae",1,"glucose_ribose","SS","additional","no interaction",0.0137598147917832,0.0771674479379361
"Pseudomonadaceae",2,"glucose_ribose","SS","additional","no interaction",0.0137598147917832,0.0771674479379361
"Pseudomonadaceae",2,"glucose_ribose","SS","additional","no interaction",0.0137598147917832,0.0771674479379361
"Pseudomonadaceae",1,"glucose_ribose","SS","additional","no interaction",0.0137598147917832,0.0771674479379361
"Pseudomonadaceae",2,"glucose_ribose","SS","additional","no interaction",0.0137598147917832,0.0771674479379361
