"CS_type_duo","outcome2","freq","frac"
"AA","- dominance",8,4.46927374301676
"AA","+ dominance",5,2.79329608938547
"AA","antagonism",7,3.91061452513966
"AA","no interaction",147,82.122905027933
"AA","synergy",12,6.70391061452514
"SA","- dominance",29,9.89761092150171
"SA","+ dominance",4,1.36518771331058
"SA","antagonism",8,2.73037542662116
"SA","no interaction",235,80.2047781569966
"SA","synergy",17,5.80204778156997
"SS","- dominance",3,2.9126213592233
"SS","+ dominance",2,1.94174757281553
"SS","antagonism",3,2.9126213592233
"SS","no interaction",93,90.2912621359223
"SS","synergy",2,1.94174757281553
