"Genus","Inoculum","CS_duo","CS_type_duo","dom_cs_type","outcome2","dom_cs_v","epsi_sd","gen.ord"
"Acinetobacter",1,"glucose_benzoate","SA","sugar","no interaction",-0.00339207103164709,0.00271779167136465,"Acinetobacter"
"Acinetobacter",1,"glucose_glutamine","SA","sugar","no interaction",-0.00317214880896817,0.00313062806430885,"Acinetobacter"
"Acinetobacter",1,"glucose_glycine","SA","sugar","no interaction",-0.00126869995758366,0.00213751514578274,"Acinetobacter"
"Acinetobacter",1,"succinate_cellobiose","SA","sugar","no interaction",-0.104372475345244,0.132545316622799,"Acinetobacter"
"Acinetobacter",1,"succinate_fructose","SA","sugar","no interaction",-0.103920638416087,0.130676408720919,"Acinetobacter"
"Acinetobacter",1,"succinate_glycerol","SA","sugar","no interaction",-0.117110107867706,0.148778366800327,"Acinetobacter"
"Acinetobacter",1,"succinate_ribose","SA","sugar","no interaction",-0.119856827763337,0.150363345461127,"Acinetobacter"
"Citrobacter",1,"glucose_glutamine","SA","sugar","no interaction",-0.0228575048444546,0.0659770194726185,"Citrobacter"
"Citrobacter",1,"succinate_cellobiose","SA","acid","no interaction",0.000699699734452972,0.0148854881037425,"Citrobacter"
"Citrobacter",1,"succinate_fructose","SA","sugar","no interaction",-0.0293513063573149,0.0439114202620045,"Citrobacter"
"Citrobacter",1,"succinate_ribose","SA","acid","no interaction",0.0192141832789826,0.0225745808463114,"Citrobacter"
"Enterobacter",1,"glucose_fumarate","SA","sugar","no interaction",-0.00401582448137296,0.0130110038329763,"Enterobacter"
"Enterobacter",1,"glucose_glycine","SA","acid","no interaction",0.00131558028117849,0.000406094451987843,"Enterobacter"
"Enterobacter",1,"succinate_fructose","SA","sugar","no interaction",-0.0873501899224133,0.0910042072470934,"Enterobacter"
"Enterobacteriaceae.8",1,"glucose_glutamine","SA","sugar","no interaction",-0.00502585980467208,0.0121435996220751,"Enterobacteriaceae.8"
"Enterobacteriaceae.8",1,"succinate_cellobiose","SA","sugar","no interaction",-0.0039576537118791,0.0274585513953294,"Enterobacteriaceae.8"
"Enterobacteriaceae.8",1,"succinate_fructose","SA","acid","no interaction",0.00829207843641056,0.00838869995850888,"Enterobacteriaceae.8"
"Klebsiella",1,"glucose_benzoate","SA","acid","no interaction",0.0240287165018746,0.024023852982304,"Klebsiella"
"Klebsiella",1,"glucose_fumarate","SA","acid","no interaction",0.0140241634221355,0.0142991325622799,"Klebsiella"
"Klebsiella",1,"glucose_glutamine","SA","acid","no interaction",0.0153864452566889,0.0188098225297314,"Klebsiella"
"Klebsiella",1,"glucose_glycine","SA","acid","no interaction",0.0236515634668647,0.0248326899084362,"Klebsiella"
"Klebsiella",1,"succinate_cellobiose","SA","acid","no interaction",1.69382103934148e-05,0.0334280851206411,"Klebsiella"
"Klebsiella",1,"succinate_fructose","SA","sugar","no interaction",-0.00684189345571418,0.0319907103785772,"Klebsiella"
"Klebsiella",1,"succinate_glycerol","SA","acid","no interaction",0.0797371125031056,0.0784722823946752,"Klebsiella"
"Klebsiella",1,"succinate_ribose","SA","acid","no interaction",0.0390407408978189,0.0431733159130886,"Klebsiella"
"Pseudomonas",1,"glucose_fumarate","SA","acid","no interaction",0.0580795693152805,0.0954186650409501,"Pseudomonas"
"Pseudomonas",1,"glucose_glutamine","SA","sugar","no interaction",-0.0855695753726663,0.101322957520516,"Pseudomonas"
"Pseudomonas",1,"glucose_glycine","SA","sugar","no interaction",-0.195467319297612,0.0896841984224694,"Pseudomonas"
"Pseudomonas",1,"succinate_cellobiose","SA","acid","no interaction",0.00290394179812342,0.110973241867625,"Pseudomonas"
"Pseudomonas",1,"succinate_fructose","SA","sugar","no interaction",-0.0354860935937898,0.142588639552823,"Pseudomonas"
"Pseudomonas",1,"succinate_glycerol","SA","sugar","no interaction",-0.103359414222402,0.12718113885788,"Pseudomonas"
"Pseudomonas",1,"succinate_ribose","SA","sugar","no interaction",-0.00440782125952742,0.137828563875049,"Pseudomonas"
"Raoultella",1,"glucose_glutamine","SA","acid","no interaction",0.0387255925885444,0.199806843229757,"Raoultella"
"Raoultella",1,"glucose_glycine","SA","sugar","no interaction",-0.0859972522034027,0.155344769450247,"Raoultella"
"Raoultella",1,"succinate_cellobiose","SA","sugar","no interaction",-0.0176854312255607,0.0840503643284125,"Raoultella"
"Raoultella",1,"succinate_fructose","SA","sugar","no interaction",-0.145056259663534,0.225239819428016,"Raoultella"
"Rosenbergiella",1,"glucose_glutamine","SA","acid","no interaction",0.0421992397010152,0.0416993551219041,"Rosenbergiella"
"Rosenbergiella",1,"glucose_glycine","SA","sugar","no interaction",-0.0195771952134301,0.0538966918803508,"Rosenbergiella"
"Rosenbergiella",1,"succinate_cellobiose","SA","acid","no interaction",0.00316428132612475,0.00522404834761313,"Rosenbergiella"
"Shinella",1,"glucose_fumarate","SA","acid","no interaction",0.000206510751770058,0.00381567011336331,"Shinella"
"Shinella",1,"glucose_glutamine","SA","sugar","no interaction",-0.000474247362218892,0.000629023569590865,"Shinella"
"Shinella",1,"succinate_cellobiose","SA","sugar","no interaction",-0.0711712706338916,0.0851749856145638,"Shinella"
"Shinella",1,"succinate_fructose","SA","sugar","no interaction",-0.0701744698762131,0.0838272454376978,"Shinella"
"Shinella",1,"succinate_glycerol","SA","sugar","no interaction",-0.0798857442744645,0.0954217920429888,"Shinella"
"Shinella",1,"succinate_ribose","SA","sugar","no interaction",-0.0866828390376028,0.0961578617698406,"Shinella"
"Acinetobacter",2,"glucose_benzoate","SA","sugar","no interaction",-0.0544012413700324,0.0886983656087052,"Acinetobacter"
"Acinetobacter",2,"glucose_glycine","SA","sugar","no interaction",-0.000832969985915298,0.00189029581242284,"Acinetobacter"
"Citrobacter",2,"glucose_benzoate","SA","sugar","no interaction",-0.00140476310533506,0.00723910887633666,"Citrobacter"
"Citrobacter",2,"glucose_fumarate","SA","acid","no interaction",0.00216227362428266,0.00248339303919887,"Citrobacter"
"Citrobacter",2,"glucose_glutamine","SA","sugar","no interaction",-0.079707949422488,0.0662482606728942,"Citrobacter"
"Citrobacter",2,"glucose_glycine","SA","acid","no interaction",0.00170162293356795,0.00407967161763557,"Citrobacter"
"Citrobacter",2,"succinate_cellobiose","SA","sugar","no interaction",-0.0019100595859505,0.00615010062038853,"Citrobacter"
"Citrobacter",2,"succinate_fructose","SA","acid","no interaction",0.0181590833716684,0.0206317490122752,"Citrobacter"
"Citrobacter",2,"succinate_glycerol","SA","sugar","no interaction",-0.0147234091601207,0.0249566555074256,"Citrobacter"
"Citrobacter",2,"succinate_ribose","SA","sugar","no interaction",-8.21244490427641e-05,0.00187869720039809,"Citrobacter"
"Enterobacteriaceae.8",2,"glucose_benzoate","SA","acid","no interaction",0.0531428161137527,0.29665065833484,"Enterobacteriaceae.8"
"Enterobacteriaceae.8",2,"glucose_fumarate","SA","sugar","no interaction",-0.234206316835497,0.163509837596864,"Enterobacteriaceae.8"
"Enterobacteriaceae.8",2,"glucose_glutamine","SA","acid","no interaction",0.121484276409644,0.190368199510885,"Enterobacteriaceae.8"
"Enterobacteriaceae.8",2,"glucose_glycine","SA","acid","no interaction",0.0884156402299124,0.230369481745232,"Enterobacteriaceae.8"
"Enterobacteriaceae.8",2,"succinate_cellobiose","SA","acid","no interaction",0.0818189969771521,0.235177250916576,"Enterobacteriaceae.8"
"Enterobacteriaceae.8",2,"succinate_fructose","SA","acid","no interaction",0.0319247443780199,0.105085250381441,"Enterobacteriaceae.8"
"Enterobacteriaceae.8",2,"succinate_glycerol","SA","acid","no interaction",0.0140498151268101,0.291796638848863,"Enterobacteriaceae.8"
