"FamE","FamO","dravg.mean_sug","sugar","dravg.mean_oa","acid","CSpair"
"Enterobacteriaceae","Moraxellaceae",0.152714285714286,"cellobiose",0.0873333333333333,"succinate","cellobiose_succinate"
"Enterobacteriaceae","Moraxellaceae",0.130047619047619,"glycerol",0.0873333333333333,"succinate","glycerol_succinate"
"Enterobacteriaceae","Moraxellaceae",0.157333333333333,"glucose",0.0378571428571429,"benzoate","glucose_benzoate"
"Enterobacteriaceae","Moraxellaceae",0.157333333333333,"glucose",0.00888095238095238,"glycine","glucose_glycine"
"Enterobacteriaceae","Moraxellaceae",0.157333333333333,"glucose",0.164404761904762,"glutamine","glucose_glutamine"
"Enterobacteriaceae","Moraxellaceae",0.157333333333333,"glucose",0.0778809523809524,"fumarate","glucose_fumarate"
"Enterobacteriaceae","Moraxellaceae",0.159333333333333,"fructose",0.0873333333333333,"succinate","fructose_succinate"
"Enterobacteriaceae","Moraxellaceae",0.125642857142857,"ribose",0.0873333333333333,"succinate","ribose_succinate"
"Enterobacteriaceae","Pseudomonadaceae",0.211114285714286,"cellobiose",0.0516,"succinate","cellobiose_succinate"
"Enterobacteriaceae","Pseudomonadaceae",0.122714285714286,"glycerol",0.0516,"succinate","glycerol_succinate"
"Enterobacteriaceae","Pseudomonadaceae",0.1244,"glucose",0.0616571428571429,"benzoate","glucose_benzoate"
"Enterobacteriaceae","Pseudomonadaceae",0.1244,"glucose",0.0371142857142857,"glycine","glucose_glycine"
"Enterobacteriaceae","Pseudomonadaceae",0.1244,"glucose",0.0657714285714286,"glutamine","glucose_glutamine"
"Enterobacteriaceae","Pseudomonadaceae",0.1244,"glucose",0.0649142857142857,"fumarate","glucose_fumarate"
"Enterobacteriaceae","Pseudomonadaceae",0.1734,"fructose",0.0516,"succinate","fructose_succinate"
"Enterobacteriaceae","Pseudomonadaceae",0.164942857142857,"ribose",0.0516,"succinate","ribose_succinate"
"Enterobacteriaceae","Rhizobiaceae",0.0992142857142857,"cellobiose",0.06075,"succinate","cellobiose_succinate"
"Enterobacteriaceae","Rhizobiaceae",0.0677142857142857,"glycerol",0.06075,"succinate","glycerol_succinate"
"Enterobacteriaceae","Rhizobiaceae",0.0835,"glucose",-0.00689285714285714,"benzoate","glucose_benzoate"
"Enterobacteriaceae","Rhizobiaceae",0.0835,"glucose",-0.000535714285714286,"glycine","glucose_glycine"
"Enterobacteriaceae","Rhizobiaceae",0.0835,"glucose",0.108821428571429,"glutamine","glucose_glutamine"
"Enterobacteriaceae","Rhizobiaceae",0.0835,"glucose",-0.00528571428571428,"fumarate","glucose_fumarate"
"Enterobacteriaceae","Rhizobiaceae",0.0795,"fructose",0.06075,"succinate","fructose_succinate"
"Enterobacteriaceae","Rhizobiaceae",0.110142857142857,"ribose",0.06075,"succinate","ribose_succinate"
