"qs","qa","delta"
0.05,0.05,-0.0323009942467507
0.25,0.05,-0.0379950705235096
0.45,0.05,-0.0556630338387126
0.65,0.05,-0.0519150366836372
0.75,0.05,-0.0477516800935869
0.85,0.05,-0.064214337194028
0.95,0.05,-0.0607178466745603
0.05,0.15,0.00288570610908771
0.15,0.15,0.0023741992109341
0.25,0.15,0.00328002339729764
0.35,0.15,-0.0201339037668254
0.45,0.15,-0.0378358316020983
0.55,0.15,-0.0592793746580162
0.65,0.15,-0.0574878758839206
0.75,0.15,-0.0628929567351209
0.85,0.15,-0.0570288713499391
0.95,0.15,-0.0524168458938246
0.05,0.25,0.0164709727697623
0.15,0.25,-0.00380189802995563
0.25,0.25,-0.00760569808439557
0.45,0.25,-0.0286690941901637
0.55,0.25,-0.0298175407015552
0.65,0.25,-0.0445166925277168
0.75,0.25,-0.0469856895037197
0.95,0.25,-0.0567883559880204
0.05,0.35,0.0405356496078267
0.15,0.35,0.0159229326198184
0.25,0.35,0.00907673853582533
0.45,0.35,-0.0170061350023587
0.55,0.35,-0.0140358527948997
0.65,0.35,-0.0303399621287239
0.85,0.35,-0.0405773145328474
0.95,0.35,-0.0370653977075441
0.05,0.45,0.0468778087323129
0.15,0.45,0.0351144574289267
0.25,0.45,0.0427022313426827
0.35,0.45,0.00330769397512764
0.45,0.45,-0.00761380193632927
0.55,0.45,-0.0189151418537617
0.85,0.45,-0.037185157770259
0.95,0.45,-0.0379741723442663
0.05,0.55,0.0408401977268581
0.15,0.55,0.0594076309481466
0.25,0.55,0.0378658833549584
0.35,0.55,0.0154101816585625
0.45,0.55,-0.00634528154518047
0.55,0.55,0.00955132798355411
0.75,0.55,-0.0163678319714465
0.85,0.55,-0.0126771312960796
0.95,0.55,-0.0282974030924762
0.05,0.65,0.0483198236451675
0.15,0.65,0.0549358799244583
0.25,0.65,0.0447113728155963
0.35,0.65,0.0357110525876907
0.45,0.65,-0.00153574354567203
0.65,0.65,-0.0054961569108698
0.95,0.65,-0.0163016504289763
0.05,0.75,0.0522285083788741
0.15,0.75,0.0420017992961553
0.25,0.75,0.0527576542810364
0.35,0.75,0.0520831603595822
0.45,0.75,0.0310119652149688
0.55,0.75,0.00763557315337194
0.85,0.75,-0.0134741029062514
0.95,0.75,-0.0160783338084452
0.15,0.85,0.0456530265634881
0.25,0.85,0.0555313330544627
0.45,0.85,0.0281790327547409
0.55,0.85,0.0218294740239514
0.65,0.85,0.0187405810314975
0.75,0.85,0.00404209854844769
0.85,0.85,-0.000164043374994285
0.05,0.95,0.0395746194831561
0.15,0.95,0.0541747701873973
0.25,0.95,0.0536833528568223
0.35,0.95,0.0515660469039722
0.45,0.95,0.0383281558979246
0.75,0.95,0.0082072322720935
0.85,0.95,0.0104995122421357
0.95,0.95,2.64539500317575e-05
0.15,0.05,-0.000765298355992764
0.35,0.05,-0.00414683655733828
0.55,0.05,-0.0244725977139441
0.35,0.25,-0.0400671809999268
0.85,0.25,-0.0648826020915599
0.35,0.35,-0.0202601859926783
0.75,0.35,-0.0372034089747784
0.65,0.45,-0.0263435101361917
0.75,0.45,-0.00986268774179657
0.65,0.55,-0.0118494707420625
0.85,0.65,-0.0114500794954358
0.65,0.75,-0.000377612589906981
0.75,0.75,0.00749826800426101
0.05,0.85,0.0430821708541171
0.35,0.85,0.0308911435254677
0.95,0.85,-0.00644588950893286
0.55,0.95,0.00352810529357585
0.65,0.95,0.00848424805165228
0.55,0.65,0.00761150209701048
0.75,0.65,-0.00384984158103618
