"Family","Sanger_ID","CS","ravg"
"Enterobacteriaceae",747,"glucose",0.249
"Enterobacteriaceae",747,"fructose",0.239
"Enterobacteriaceae",747,"cellobiose",0.247
"Enterobacteriaceae",747,"ribose",0.187
"Enterobacteriaceae",747,"glycerol",0.214
"Enterobacteriaceae",747,"succinate",0.081
"Enterobacteriaceae",747,"fumarate",0.181
"Enterobacteriaceae",747,"benzoate",0.003
"Enterobacteriaceae",747,"glutamine",0.041
"Enterobacteriaceae",747,"glycine",0.005
"Enterobacteriaceae",751,"glucose",0.236
"Enterobacteriaceae",751,"fructose",0.235
"Enterobacteriaceae",751,"cellobiose",0.234
"Enterobacteriaceae",751,"ribose",0.158
"Enterobacteriaceae",751,"glycerol",0.188
"Enterobacteriaceae",751,"succinate",0.104
"Enterobacteriaceae",751,"fumarate",0.166
"Enterobacteriaceae",751,"benzoate",0.005
"Enterobacteriaceae",751,"glutamine",0.018
"Enterobacteriaceae",751,"glycine",0.002
"Enterobacteriaceae",752,"glucose",0.247
"Enterobacteriaceae",752,"fructose",0.239
"Enterobacteriaceae",752,"cellobiose",0.244
"Enterobacteriaceae",752,"ribose",0.179
"Enterobacteriaceae",752,"glycerol",0.214
"Enterobacteriaceae",752,"succinate",0.067
"Enterobacteriaceae",752,"fumarate",0.182
"Enterobacteriaceae",752,"benzoate",0.003
"Enterobacteriaceae",752,"glutamine",0.057
"Enterobacteriaceae",752,"glycine",0.002
"Enterobacteriaceae",895,"glucose",0.247
"Enterobacteriaceae",895,"fructose",0.238
"Enterobacteriaceae",895,"cellobiose",0.253
"Enterobacteriaceae",895,"ribose",0.213
"Enterobacteriaceae",895,"glycerol",0.209
"Enterobacteriaceae",895,"succinate",0.079
"Enterobacteriaceae",895,"fumarate",0.184
"Enterobacteriaceae",895,"benzoate",0.002
"Enterobacteriaceae",895,"glutamine",0.009
"Enterobacteriaceae",895,"glycine",0.002
"Enterobacteriaceae",896,"glucose",0.241
"Enterobacteriaceae",896,"fructose",0.234
"Enterobacteriaceae",896,"cellobiose",0.24
"Enterobacteriaceae",896,"ribose",0.205
"Enterobacteriaceae",896,"glycerol",0.215
"Enterobacteriaceae",896,"succinate",0.082
"Enterobacteriaceae",896,"fumarate",0.188
"Enterobacteriaceae",896,"benzoate",0.022
"Enterobacteriaceae",896,"glutamine",0.016
"Enterobacteriaceae",896,"glycine",0.006
"Enterobacteriaceae",913,"glucose",0.24
"Enterobacteriaceae",913,"fructose",0.237
"Enterobacteriaceae",913,"cellobiose",0.239
"Enterobacteriaceae",913,"ribose",0.199
"Enterobacteriaceae",913,"glycerol",0.203
"Enterobacteriaceae",913,"succinate",0.073
"Enterobacteriaceae",913,"fumarate",0.141
"Enterobacteriaceae",913,"benzoate",0.018
"Enterobacteriaceae",913,"glutamine",0.033
"Enterobacteriaceae",913,"glycine",0.002
"Enterobacteriaceae",926,"glucose",0.241
"Enterobacteriaceae",926,"fructose",0.223
"Enterobacteriaceae",926,"cellobiose",0.228
"Enterobacteriaceae",926,"ribose",0.183
"Enterobacteriaceae",926,"glycerol",0.183
"Enterobacteriaceae",926,"succinate",0.046
"Enterobacteriaceae",926,"fumarate",0.171
"Enterobacteriaceae",926,"benzoate",0.004
"Enterobacteriaceae",926,"glutamine",0.074
"Enterobacteriaceae",926,"glycine",0.004
"Pseudomonadaceae",906,"glucose",0.06
"Pseudomonadaceae",906,"fructose",0.042
"Pseudomonadaceae",906,"cellobiose",0.044
"Pseudomonadaceae",906,"ribose",0.025
"Pseudomonadaceae",906,"glycerol",0.104
"Pseudomonadaceae",906,"succinate",0.036
"Pseudomonadaceae",906,"fumarate",0.247
"Pseudomonadaceae",906,"benzoate",0.014
"Pseudomonadaceae",906,"glutamine",0.031
"Pseudomonadaceae",906,"glycine",0.029
"Pseudomonadaceae",934,"glucose",0.187
"Pseudomonadaceae",934,"fructose",0.122
"Pseudomonadaceae",934,"cellobiose",0.035
"Pseudomonadaceae",934,"ribose",0.045
"Pseudomonadaceae",934,"glycerol",0.171
"Pseudomonadaceae",934,"succinate",0.141
"Pseudomonadaceae",934,"fumarate",0.212
"Pseudomonadaceae",934,"benzoate",0.074
"Pseudomonadaceae",934,"glutamine",0.194
"Pseudomonadaceae",934,"glycine",0.004
"Pseudomonadaceae",940,"glucose",0.026
"Pseudomonadaceae",940,"fructose",0.095
"Pseudomonadaceae",940,"cellobiose",0.015
"Pseudomonadaceae",940,"ribose",0.007
"Pseudomonadaceae",940,"glycerol",0.006
"Pseudomonadaceae",940,"succinate",0.151
"Pseudomonadaceae",940,"fumarate",0.21
"Pseudomonadaceae",940,"benzoate",0.001
"Pseudomonadaceae",940,"glutamine",0.015
"Pseudomonadaceae",940,"glycine",0.003
"Pseudomonadaceae",954,"glucose",0.082
"Pseudomonadaceae",954,"fructose",0.031
"Pseudomonadaceae",954,"cellobiose",0.028
"Pseudomonadaceae",954,"ribose",0.017
"Pseudomonadaceae",954,"glycerol",0.026
"Pseudomonadaceae",954,"succinate",0.094
"Pseudomonadaceae",954,"fumarate",0.23
"Pseudomonadaceae",954,"benzoate",0.072
"Pseudomonadaceae",954,"glutamine",0.026
"Pseudomonadaceae",954,"glycine",0.011
"Pseudomonadaceae",956,"glucose",0.238
