"q","Treatment","RMSE"
0.05,"SS",0.172305344171129
0.05,"AA",0.147506975289614
0.05,"SA",0.155979413692135
0.15,"SS",0.154069285339316
0.15,"AA",0.167572353736151
0.15,"SA",0.148509811559363
0.25,"SS",0.132023324538773
0.25,"AA",0.142657718125975
0.25,"SA",0.150256529276823
0.45,"SS",0.104769132712959
0.45,"AA",0.108846105193945
0.45,"SA",0.105434257875647
0.55,"SS",0.0843657352370333
0.55,"AA",0.0831072216732037
0.55,"SA",0.124146516308525
0.65,"SS",0.0848438669174057
0.65,"AA",0.0656355656953131
0.65,"SA",0.0858812842749283
0.85,"SS",0.0296667944215915
0.85,"AA",0.0352670424863276
0.85,"SA",0.0401302095176346
0.95,"SS",0.0118137944421311
0.95,"AA",0.0203595049461851
0.95,"SA",0.0279775162362585
0.35,"SS",0.107222983521298
0.35,"AA",0.125988606984546
0.35,"SA",0.116289731281988
0.75,"SS",0.062080780893594
0.75,"AA",0.0489875792833215
0.75,"SA",0.0467658752810745
