"V1","Family","ESV","Class","Resource","c_ia","Treatment"
0,"F0","S0","T0","R0",0.232748125509474,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
1,"F0","S1","T0","R0",0.131116807514605,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
2,"F0","S2","T0","R0",0.245786429415828,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
3,"F0","S3","T0","R0",0.164225134258858,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
4,"F0","S4","T0","R0",2.6842624040325,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
5,"F0","S5","T0","R0",0.350590191423154,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
6,"F0","S6","T0","R0",0.739596834779196,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
7,"F0","S7","T0","R0",0.147688834805875,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
8,"F0","S8","T0","R0",0.815505133758002,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
9,"F0","S9","T0","R0",0.907598942838453,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
10,"F0","S10","T0","R0",0.0717541114174092,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
11,"F0","S11","T0","R0",0.585593029721373,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
12,"F0","S12","T0","R0",1.81548613896388,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
13,"F0","S13","T0","R0",0.00147226421976787,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
14,"F0","S14","T0","R0",0.272859597963205,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
15,"F0","S15","T0","R0",0.0233271466486649,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
16,"F0","S16","T0","R0",0.0108553610622372,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
17,"F0","S17","T0","R0",0.0808503324236197,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
18,"F0","S18","T0","R0",0.747088592273026,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
19,"F0","S19","T0","R0",0.807940148914134,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
20,"F1","S20","T0","R0",0.226934856801861,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
21,"F1","S21","T0","R0",0.00381659360000577,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
22,"F1","S22","T0","R0",0.033826655887089,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
23,"F1","S23","T0","R0",0.0108027485649198,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
24,"F1","S24","T0","R0",0.749320258484633,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
25,"F1","S25","T0","R0",0.529584610041707,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
26,"F1","S26","T0","R0",1.21422710843652,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
27,"F1","S27","T0","R0",0.29762571135948,"atop(""Unspecialised"", paste(q[A] == 0, "" and "", q[S] == 0))"
